week_sort,value,type,Season,Age Group
Year 1 week 32,1.0,cases,2016/2017,0-5 months
Year 1 week 32,0.0,cases,2017/2018,0-5 months
Year 1 week 32,0.0,cases,2018/2019,0-5 months
Year 1 week 32,0.0,cases,2019/2020,0-5 months
Year 1 week 32,0.0,cases,2020/2021,0-5 months
Year 1 week 32,53.0,cases,2021/2022,0-5 months
Year 1 week 32,23.0,cases,2022/2023,0-5 months
Year 1 week 32,0.0,cases,2023/2024,0-5 months
Year 1 week 32,0.0,cases,2024/2025,0-5 months
Year 1 week 33,2.0,cases,2016/2017,0-5 months
Year 1 week 33,0.0,cases,2017/2018,0-5 months
Year 1 week 33,0.0,cases,2018/2019,0-5 months
Year 1 week 33,0.0,cases,2019/2020,0-5 months
Year 1 week 33,0.0,cases,2020/2021,0-5 months
Year 1 week 33,106.0,cases,2021/2022,0-5 months
Year 1 week 33,24.0,cases,2022/2023,0-5 months
Year 1 week 33,2.0,cases,2023/2024,0-5 months
Year 1 week 33,0.0,cases,2024/2025,0-5 months
Year 1 week 34,0.0,cases,2016/2017,0-5 months
Year 1 week 34,0.0,cases,2017/2018,0-5 months
Year 1 week 34,0.0,cases,2018/2019,0-5 months
Year 1 week 34,0.0,cases,2019/2020,0-5 months
Year 1 week 34,0.0,cases,2020/2021,0-5 months
Year 1 week 34,168.0,cases,2021/2022,0-5 months
Year 1 week 34,17.0,cases,2022/2023,0-5 months
Year 1 week 34,0.0,cases,2023/2024,0-5 months
Year 1 week 34,0.0,cases,2024/2025,0-5 months
Year 1 week 35,0.0,cases,2016/2017,0-5 months
Year 1 week 35,0.0,cases,2017/2018,0-5 months
Year 1 week 35,0.0,cases,2018/2019,0-5 months
Year 1 week 35,0.0,cases,2019/2020,0-5 months
Year 1 week 35,0.0,cases,2020/2021,0-5 months
Year 1 week 35,260.0,cases,2021/2022,0-5 months
Year 1 week 35,40.0,cases,2022/2023,0-5 months
Year 1 week 35,1.0,cases,2023/2024,0-5 months
Year 1 week 35,0.0,cases,2024/2025,0-5 months
Year 1 week 36,0.0,cases,2016/2017,0-5 months
Year 1 week 36,0.0,cases,2017/2018,0-5 months
Year 1 week 36,0.0,cases,2018/2019,0-5 months
Year 1 week 36,0.0,cases,2019/2020,0-5 months
Year 1 week 36,0.0,cases,2020/2021,0-5 months
Year 1 week 36,306.0,cases,2021/2022,0-5 months
Year 1 week 36,38.0,cases,2022/2023,0-5 months
Year 1 week 36,2.0,cases,2023/2024,0-5 months
Year 1 week 36,0.0,cases,2024/2025,0-5 months
Year 1 week 37,1.0,cases,2016/2017,0-5 months
Year 1 week 37,0.0,cases,2017/2018,0-5 months
Year 1 week 37,1.0,cases,2018/2019,0-5 months
Year 1 week 37,0.0,cases,2019/2020,0-5 months
Year 1 week 37,0.0,cases,2020/2021,0-5 months
Year 1 week 37,298.0,cases,2021/2022,0-5 months
Year 1 week 37,58.0,cases,2022/2023,0-5 months
Year 1 week 37,0.0,cases,2023/2024,0-5 months
Year 1 week 37,0.0,cases,2024/2025,0-5 months
Year 1 week 38,0.0,cases,2016/2017,0-5 months
Year 1 week 38,0.0,cases,2017/2018,0-5 months
Year 1 week 38,0.0,cases,2018/2019,0-5 months
Year 1 week 38,1.0,cases,2019/2020,0-5 months
Year 1 week 38,0.0,cases,2020/2021,0-5 months
Year 1 week 38,294.0,cases,2021/2022,0-5 months
Year 1 week 38,103.0,cases,2022/2023,0-5 months
Year 1 week 38,5.0,cases,2023/2024,0-5 months
Year 1 week 38,1.0,cases,2024/2025,0-5 months
Year 1 week 39,0.0,cases,2016/2017,0-5 months
Year 1 week 39,0.0,cases,2017/2018,0-5 months
Year 1 week 39,1.0,cases,2018/2019,0-5 months
Year 1 week 39,3.0,cases,2019/2020,0-5 months
Year 1 week 39,0.0,cases,2020/2021,0-5 months
Year 1 week 39,291.0,cases,2021/2022,0-5 months
Year 1 week 39,123.0,cases,2022/2023,0-5 months
Year 1 week 39,6.0,cases,2023/2024,0-5 months
Year 1 week 39,0.0,cases,2024/2025,0-5 months
Year 1 week 40,1.0,cases,2015/2016,0-5 months
Year 1 week 40,2.0,cases,2016/2017,0-5 months
Year 1 week 40,1.0,cases,2017/2018,0-5 months
Year 1 week 40,2.0,cases,2018/2019,0-5 months
Year 1 week 40,1.0,cases,2019/2020,0-5 months
Year 1 week 40,0.0,cases,2020/2021,0-5 months
Year 1 week 40,249.0,cases,2021/2022,0-5 months
Year 1 week 40,165.0,cases,2022/2023,0-5 months
Year 1 week 40,8.0,cases,2023/2024,0-5 months
Year 1 week 40,0.0,cases,2024/2025,0-5 months
Year 1 week 41,0.0,cases,2015/2016,0-5 months
Year 1 week 41,0.0,cases,2016/2017,0-5 months
Year 1 week 41,1.0,cases,2017/2018,0-5 months
Year 1 week 41,2.0,cases,2018/2019,0-5 months
Year 1 week 41,1.0,cases,2019/2020,0-5 months
Year 1 week 41,0.0,cases,2020/2021,0-5 months
Year 1 week 41,191.0,cases,2021/2022,0-5 months
Year 1 week 41,214.0,cases,2022/2023,0-5 months
Year 1 week 41,7.0,cases,2023/2024,0-5 months
Year 1 week 41,0.0,cases,2024/2025,0-5 months
Year 1 week 42,0.0,cases,2015/2016,0-5 months
Year 1 week 42,2.0,cases,2016/2017,0-5 months
Year 1 week 42,2.0,cases,2017/2018,0-5 months
Year 1 week 42,0.0,cases,2018/2019,0-5 months
Year 1 week 42,2.0,cases,2019/2020,0-5 months
Year 1 week 42,0.0,cases,2020/2021,0-5 months
Year 1 week 42,134.0,cases,2021/2022,0-5 months
Year 1 week 42,246.0,cases,2022/2023,0-5 months
Year 1 week 42,14.0,cases,2023/2024,0-5 months
Year 1 week 42,1.0,cases,2024/2025,0-5 months
Year 1 week 43,3.0,cases,2015/2016,0-5 months
Year 1 week 43,4.0,cases,2016/2017,0-5 months
Year 1 week 43,0.0,cases,2017/2018,0-5 months
Year 1 week 43,1.0,cases,2018/2019,0-5 months
Year 1 week 43,4.0,cases,2019/2020,0-5 months
Year 1 week 43,0.0,cases,2020/2021,0-5 months
Year 1 week 43,82.0,cases,2021/2022,0-5 months
Year 1 week 43,251.0,cases,2022/2023,0-5 months
Year 1 week 43,28.0,cases,2023/2024,0-5 months
Year 1 week 43,1.0,cases,2024/2025,0-5 months
Year 1 week 44,1.0,cases,2015/2016,0-5 months
Year 1 week 44,4.0,cases,2016/2017,0-5 months
Year 1 week 44,1.0,cases,2017/2018,0-5 months
Year 1 week 44,2.0,cases,2018/2019,0-5 months
Year 1 week 44,3.0,cases,2019/2020,0-5 months
Year 1 week 44,0.0,cases,2020/2021,0-5 months
Year 1 week 44,54.0,cases,2021/2022,0-5 months
Year 1 week 44,236.0,cases,2022/2023,0-5 months
