week_sort,value,type,Season,Age Group
Year 2 week 13,0.0,deaths,2017/2018,6-11 months
Year 2 week 13,0.0,deaths,2018/2019,6-11 months
Year 2 week 13,0.0,deaths,2019/2020,6-11 months
Year 2 week 13,0.0,deaths,2020/2021,6-11 months
Year 2 week 13,0.0,deaths,2021/2022,6-11 months
Year 2 week 13,0.0,deaths,2022/2023,6-11 months
Year 2 week 13,0.0,deaths,2023/2024,6-11 months
Year 2 week 14,0.0,deaths,2015/2016,6-11 months
Year 2 week 14,0.0,deaths,2016/2017,6-11 months
Year 2 week 14,0.0,deaths,2017/2018,6-11 months
Year 2 week 14,0.0,deaths,2018/2019,6-11 months
Year 2 week 14,0.0,deaths,2019/2020,6-11 months
Year 2 week 14,0.0,deaths,2020/2021,6-11 months
Year 2 week 14,0.0,deaths,2021/2022,6-11 months
Year 2 week 14,0.0,deaths,2022/2023,6-11 months
Year 2 week 14,0.0,deaths,2023/2024,6-11 months
Year 2 week 15,0.0,deaths,2015/2016,6-11 months
Year 2 week 15,0.0,deaths,2016/2017,6-11 months
Year 2 week 15,0.0,deaths,2017/2018,6-11 months
Year 2 week 15,0.0,deaths,2018/2019,6-11 months
Year 2 week 15,0.0,deaths,2019/2020,6-11 months
Year 2 week 15,0.0,deaths,2020/2021,6-11 months
Year 2 week 15,0.0,deaths,2021/2022,6-11 months
Year 2 week 15,0.0,deaths,2022/2023,6-11 months
Year 2 week 15,0.0,deaths,2023/2024,6-11 months
Year 2 week 16,0.0,deaths,2015/2016,6-11 months
Year 2 week 16,0.0,deaths,2016/2017,6-11 months
Year 2 week 16,0.0,deaths,2017/2018,6-11 months
Year 2 week 16,0.0,deaths,2018/2019,6-11 months
Year 2 week 16,0.0,deaths,2019/2020,6-11 months
Year 2 week 16,0.0,deaths,2020/2021,6-11 months
Year 2 week 16,0.0,deaths,2021/2022,6-11 months
Year 2 week 16,0.0,deaths,2022/2023,6-11 months
Year 2 week 16,0.0,deaths,2023/2024,6-11 months
Year 2 week 17,0.0,deaths,2015/2016,6-11 months
Year 2 week 17,0.0,deaths,2016/2017,6-11 months
Year 2 week 17,0.0,deaths,2017/2018,6-11 months
Year 2 week 17,0.0,deaths,2018/2019,6-11 months
Year 2 week 17,0.0,deaths,2019/2020,6-11 months
Year 2 week 17,0.0,deaths,2020/2021,6-11 months
Year 2 week 17,0.0,deaths,2021/2022,6-11 months
Year 2 week 17,0.0,deaths,2022/2023,6-11 months
Year 2 week 17,0.0,deaths,2023/2024,6-11 months
Year 2 week 18,0.0,deaths,2015/2016,6-11 months
Year 2 week 18,1.0,deaths,2016/2017,6-11 months
Year 2 week 18,0.0,deaths,2017/2018,6-11 months
Year 2 week 18,0.0,deaths,2018/2019,6-11 months
Year 2 week 18,0.0,deaths,2019/2020,6-11 months
Year 2 week 18,0.0,deaths,2020/2021,6-11 months
Year 2 week 18,0.0,deaths,2021/2022,6-11 months
Year 2 week 18,0.0,deaths,2022/2023,6-11 months
Year 2 week 18,0.0,deaths,2023/2024,6-11 months
Year 2 week 19,0.0,deaths,2015/2016,6-11 months
Year 2 week 19,0.0,deaths,2016/2017,6-11 months
Year 2 week 19,0.0,deaths,2017/2018,6-11 months
Year 2 week 19,0.0,deaths,2018/2019,6-11 months
Year 2 week 19,0.0,deaths,2019/2020,6-11 months
Year 2 week 19,0.0,deaths,2020/2021,6-11 months
Year 2 week 19,0.0,deaths,2021/2022,6-11 months
Year 2 week 19,0.0,deaths,2022/2023,6-11 months
Year 2 week 19,0.0,deaths,2023/2024,6-11 months
Year 2 week 20,0.0,deaths,2015/2016,6-11 months
Year 2 week 20,0.0,deaths,2016/2017,6-11 months
Year 2 week 20,0.0,deaths,2017/2018,6-11 months
Year 2 week 20,0.0,deaths,2018/2019,6-11 months
Year 2 week 20,0.0,deaths,2019/2020,6-11 months
Year 2 week 20,0.0,deaths,2020/2021,6-11 months
Year 2 week 20,0.0,deaths,2021/2022,6-11 months
Year 2 week 20,0.0,deaths,2022/2023,6-11 months
Year 2 week 20,0.0,deaths,2023/2024,6-11 months
Year 1 week 21,3.14,incidens,2016/2017,6-11 months
Year 1 week 21,0.0,incidens,2017/2018,6-11 months
Year 1 week 21,0.0,incidens,2018/2019,6-11 months
Year 1 week 21,0.0,incidens,2019/2020,6-11 months
Year 1 week 21,0.0,incidens,2020/2021,6-11 months
Year 1 week 21,3.09,incidens,2021/2022,6-11 months
Year 1 week 21,2.99,incidens,2022/2023,6-11 months
Year 1 week 21,3.26,incidens,2023/2024,6-11 months
Year 1 week 21,0.0,incidens,2024/2025,6-11 months
Year 1 week 22,0.0,incidens,2016/2017,6-11 months
Year 1 week 22,0.0,incidens,2017/2018,6-11 months
Year 1 week 22,0.0,incidens,2018/2019,6-11 months
Year 1 week 22,6.16,incidens,2019/2020,6-11 months
Year 1 week 22,0.0,incidens,2020/2021,6-11 months
Year 1 week 22,3.09,incidens,2021/2022,6-11 months
Year 1 week 22,8.97,incidens,2022/2023,6-11 months
Year 1 week 22,3.27,incidens,2023/2024,6-11 months
Year 1 week 22,0.0,incidens,2024/2025,6-11 months
Year 1 week 23,0.0,incidens,2016/2017,6-11 months
Year 1 week 23,0.0,incidens,2017/2018,6-11 months
Year 1 week 23,0.0,incidens,2018/2019,6-11 months
Year 1 week 23,0.0,incidens,2019/2020,6-11 months
Year 1 week 23,0.0,incidens,2020/2021,6-11 months
Year 1 week 23,0.0,incidens,2021/2022,6-11 months
Year 1 week 23,15.0,incidens,2022/2023,6-11 months
Year 1 week 23,0.0,incidens,2023/2024,6-11 months
Year 1 week 23,0.0,incidens,2024/2025,6-11 months
Year 1 week 24,0.0,incidens,2016/2017,6-11 months
Year 1 week 24,0.0,incidens,2017/2018,6-11 months
Year 1 week 24,0.0,incidens,2018/2019,6-11 months
Year 1 week 24,0.0,incidens,2019/2020,6-11 months
Year 1 week 24,0.0,incidens,2020/2021,6-11 months
Year 1 week 24,6.23,incidens,2021/2022,6-11 months
Year 1 week 24,6.0,incidens,2022/2023,6-11 months
Year 1 week 24,0.0,incidens,2023/2024,6-11 months
Year 1 week 24,0.0,incidens,2024/2025,6-11 months
Year 1 week 25,0.0,incidens,2016/2017,6-11 months
Year 1 week 25,0.0,incidens,2017/2018,6-11 months
Year 1 week 25,0.0,incidens,2018/2019,6-11 months
Year 1 week 25,6.27,incidens,2019/2020,6-11 months
Year 1 week 25,0.0,incidens,2020/2021,6-11 months
Year 1 week 25,3.14,incidens,2021/2022,6-11 months
Year 1 week 25,6.0,incidens,2022/2023,6-11 months
Year 1 week 25,0.0,incidens,2023/2024,6-11 months
Year 1 week 25,3.37,incidens,2024/2025,6-11 months
Year 1 week 26,0.0,incidens,2016/2017,6-11 months
Year 1 week 26,0.0,incidens,2017/2018,6-11 months
Year 1 week 26,0.0,incidens,2018/2019,6-11 months
Year 1 week 26,3.15,incidens,2019/2020,6-11 months
Year 1 week 26,0.0,incidens,2020/2021,6-11 months
Year 1 week 26,15.77,incidens,2021/2022,6-11 months
Year 1 week 26,15.09,incidens,2022/2023,6-11 months
Year 1 week 26,3.32,incidens,2023/2024,6-11 months
Year 1 week 26,0.0,incidens,2024/2025,6-11 months
Year 1 week 27,0.0,incidens,2016/2017,6-11 months
Year 1 week 27,0.0,incidens,2017/2018,6-11 months
Year 1 week 27,3.11,incidens,2018/2019,6-11 months
Year 1 week 27,3.17,incidens,2019/2020,6-11 months
Year 1 week 27,0.0,incidens,2020/2021,6-11 months
Year 1 week 27,25.48,incidens,2021/2022,6-11 months
Year 1 week 27,33.38,incidens,2022/2023,6-11 months
Year 1 week 27,0.0,incidens,2023/2024,6-11 months
Year 1 week 27,0.0,incidens,2024/2025,6-11 months
Year 1 week 28,3.2,incidens,2016/2017,6-11 months
Year 1 week 28,0.0,incidens,2017/2018,6-11 months
Year 1 week 28,3.12,incidens,2018/2019,6-11 months
Year 1 week 28,0.0,incidens,2019/2020,6-11 months
Year 1 week 28,0.0,incidens,2020/2021,6-11 months
Year 1 week 28,73.79,incidens,2021/2022,6-11 months
Year 1 week 28,18.4,incidens,2022/2023,6-11 months
Year 1 week 28,0.0,incidens,2023/2024,6-11 months
Year 1 week 28,3.44,incidens,2024/2025,6-11 months
Year 1 week 29,0.0,incidens,2016/2017,6-11 months
Year 1 week 29,0.0,incidens,2017/2018,6-11 months
Year 1 week 29,0.0,incidens,2018/2019,6-11 months
Year 1 week 29,0.0,incidens,2019/2020,6-11 months
Year 1 week 29,0.0,incidens,2020/2021,6-11 months
Year 1 week 29,38.72,incidens,2021/2022,6-11 months
Year 1 week 29,18.51,incidens,2022/2023,6-11 months
Year 1 week 29,0.0,incidens,2023/2024,6-11 months
Year 1 week 29,0.0,incidens,2024/2025,6-11 months
Year 1 week 30,0.0,incidens,2016/2017,6-11 months
Year 1 week 30,0.0,incidens,2017/2018,6-11 months
Year 1 week 30,0.0,incidens,2018/2019,6-11 months
Year 1 week 30,0.0,incidens,2019/2020,6-11 months
Year 1 week 30,0.0,incidens,2020/2021,6-11 months
Year 1 week 30,81.04,incidens,2021/2022,6-11 months
Year 1 week 30,9.34,incidens,2022/2023,6-11 months
Year 1 week 30,0.0,incidens,2023/2024,6-11 months
Year 1 week 30,0.0,incidens,2024/2025,6-11 months
Year 1 week 31,0.0,incidens,2016/2017,6-11 months
Year 1 week 31,0.0,incidens,2017/2018,6-11 months
Year 1 week 31,0.0,incidens,2018/2019,6-11 months
Year 1 week 31,0.0,incidens,2019/2020,6-11 months
Year 1 week 31,0.0,incidens,2020/2021,6-11 months
Year 1 week 31,51.95,incidens,2021/2022,6-11 months
Year 1 week 31,9.38,incidens,2022/2023,6-11 months
Year 1 week 31,0.0,incidens,2023/2024,6-11 months
Year 1 week 31,0.0,incidens,2024/2025,6-11 months
Year 1 week 32,0.0,incidens,2016/2017,6-11 months
Year 1 week 32,0.0,incidens,2017/2018,6-11 months
Year 1 week 32,0.0,incidens,2018/2019,6-11 months
Year 1 week 32,0.0,incidens,2019/2020,6-11 months
Year 1 week 32,0.0,incidens,2020/2021,6-11 months
Year 1 week 32,81.17,incidens,2021/2022,6-11 months
Year 1 week 32,28.25,incidens,2022/2023,6-11 months
Year 1 week 32,0.0,incidens,2023/2024,6-11 months
Year 1 week 32,3.52,incidens,2024/2025,6-11 months
Year 1 week 33,0.0,incidens,2016/2017,6-11 months
Year 1 week 33,0.0,incidens,2017/2018,6-11 months
Year 1 week 33,0.0,incidens,2018/2019,6-11 months
Year 1 week 33,3.25,incidens,2019/2020,6-11 months
Year 1 week 33,0.0,incidens,2020/2021,6-11 months
Year 1 week 33,153.43,incidens,2021/2022,6-11 months
Year 1 week 33,28.35,incidens,2022/2023,6-11 months
Year 1 week 33,3.46,incidens,2023/2024,6-11 months
Year 1 week 33,0.0,incidens,2024/2025,6-11 months
Year 1 week 34,0.0,incidens,2016/2017,6-11 months
Year 1 week 34,0.0,incidens,2017/2018,6-11 months
Year 1 week 34,0.0,incidens,2018/2019,6-11 months
Year 1 week 34,3.26,incidens,2019/2020,6-11 months
Year 1 week 34,0.0,incidens,2020/2021,6-11 months
Year 1 week 34,262.14,incidens,2021/2022,6-11 months
Year 1 week 34,28.5,incidens,2022/2023,6-11 months
Year 1 week 34,0.0,incidens,2023/2024,6-11 months
Year 1 week 34,0.0,incidens,2024/2025,6-11 months
Year 1 week 35,3.27,incidens,2016/2017,6-11 months
Year 1 week 35,0.0,incidens,2017/2018,6-11 months
Year 1 week 35,0.0,incidens,2018/2019,6-11 months
Year 1 week 35,0.0,incidens,2019/2020,6-11 months
Year 1 week 35,0.0,incidens,2020/2021,6-11 months
Year 1 week 35,361.16,incidens,2021/2022,6-11 months
Year 1 week 35,38.21,incidens,2022/2023,6-11 months
Year 1 week 35,0.0,incidens,2023/2024,6-11 months
Year 1 week 35,0.0,incidens,2024/2025,6-11 months
Year 1 week 36,0.0,incidens,2016/2017,6-11 months
Year 1 week 36,0.0,incidens,2017/2018,6-11 months
Year 1 week 36,0.0,incidens,2018/2019,6-11 months
Year 1 week 36,0.0,incidens,2019/2020,6-11 months
Year 1 week 36,0.0,incidens,2020/2021,6-11 months
Year 1 week 36,578.81,incidens,2021/2022,6-11 months
Year 1 week 36,51.38,incidens,2022/2023,6-11 months
Year 1 week 36,3.49,incidens,2023/2024,6-11 months
Year 1 week 36,0.0,incidens,2024/2025,6-11 months
Year 1 week 37,0.0,incidens,2016/2017,6-11 months
Year 1 week 37,0.0,incidens,2017/2018,6-11 months
Year 1 week 37,0.0,incidens,2018/2019,6-11 months
Year 1 week 37,3.3,incidens,2019/2020,6-11 months
Year 1 week 37,0.0,incidens,2020/2021,6-11 months
Year 1 week 37,591.11,incidens,2021/2022,6-11 months
Year 1 week 37,38.67,incidens,2022/2023,6-11 months
Year 1 week 37,10.47,incidens,2023/2024,6-11 months
Year 1 week 37,0.0,incidens,2024/2025,6-11 months
Year 1 week 38,0.0,incidens,2016/2017,6-11 months
Year 1 week 38,0.0,incidens,2017/2018,6-11 months
Year 1 week 38,0.0,incidens,2018/2019,6-11 months
Year 1 week 38,0.0,incidens,2019/2020,6-11 months
Year 1 week 38,0.0,incidens,2020/2021,6-11 months
Year 1 week 38,508.75,incidens,2021/2022,6-11 months
Year 1 week 38,100.45,incidens,2022/2023,6-11 months
Year 1 week 38,3.49,incidens,2023/2024,6-11 months
Year 1 week 38,0.0,incidens,2024/2025,6-11 months
Year 1 week 39,3.29,incidens,2016/2017,6-11 months
Year 1 week 39,0.0,incidens,2017/2018,6-11 months
Year 1 week 39,0.0,incidens,2018/2019,6-11 months
Year 1 week 39,0.0,incidens,2019/2020,6-11 months
Year 1 week 39,0.0,incidens,2020/2021,6-11 months
Year 1 week 39,446.96,incidens,2021/2022,6-11 months
Year 1 week 39,113.89,incidens,2022/2023,6-11 months
Year 1 week 39,14.04,incidens,2023/2024,6-11 months
Year 1 week 39,0.0,incidens,2024/2025,6-11 months
Year 1 week 40,0.0,incidens,2015/2016,6-11 months
Year 1 week 40,3.32,incidens,2016/2017,6-11 months
Year 1 week 40,0.0,incidens,2017/2018,6-11 months
Year 1 week 40,0.0,incidens,2018/2019,6-11 months
Year 1 week 40,0.0,incidens,2019/2020,6-11 months
Year 1 week 40,0.0,incidens,2020/2021,6-11 months
Year 1 week 40,376.41,incidens,2021/2022,6-11 months
Year 1 week 40,173.97,incidens,2022/2023,6-11 months
Year 1 week 40,10.58,incidens,2023/2024,6-11 months
Year 1 week 40,0.0,incidens,2024/2025,6-11 months
Year 1 week 41,0.0,incidens,2015/2016,6-11 months
Year 1 week 41,0.0,incidens,2016/2017,6-11 months
Year 1 week 41,0.0,incidens,2017/2018,6-11 months
Year 1 week 41,3.25,incidens,2018/2019,6-11 months
Year 1 week 41,0.0,incidens,2019/2020,6-11 months
Year 1 week 41,0.0,incidens,2020/2021,6-11 months
Year 1 week 41,265.68,incidens,2021/2022,6-11 months
Year 1 week 41,330.97,incidens,2022/2023,6-11 months
Year 1 week 41,24.85,incidens,2023/2024,6-11 months
Year 1 week 41,3.61,incidens,2024/2025,6-11 months
Year 1 week 42,0.0,incidens,2015/2016,6-11 months
Year 1 week 42,6.66,incidens,2016/2017,6-11 months
Year 1 week 42,0.0,incidens,2017/2018,6-11 months
Year 1 week 42,3.26,incidens,2018/2019,6-11 months
Year 1 week 42,3.37,incidens,2019/2020,6-11 months
Year 1 week 42,0.0,incidens,2020/2021,6-11 months
Year 1 week 42,166.21,incidens,2021/2022,6-11 months
Year 1 week 42,300.42,incidens,2022/2023,6-11 months
Year 1 week 42,39.19,incidens,2023/2024,6-11 months
Year 1 week 42,0.0,incidens,2024/2025,6-11 months
Year 1 week 43,0.0,incidens,2015/2016,6-11 months
Year 1 week 43,3.33,incidens,2016/2017,6-11 months
Year 1 week 43,0.0,incidens,2017/2018,6-11 months
Year 1 week 43,3.27,incidens,2018/2019,6-11 months
Year 1 week 43,0.0,incidens,2019/2020,6-11 months
Year 1 week 43,0.0,incidens,2020/2021,6-11 months
Year 1 week 43,96.25,incidens,2021/2022,6-11 months
Year 1 week 43,263.21,incidens,2022/2023,6-11 months
Year 1 week 43,42.73,incidens,2023/2024,6-11 months
Year 1 week 43,3.61,incidens,2024/2025,6-11 months
Year 1 week 44,0.0,incidens,2015/2016,6-11 months
Year 1 week 44,0.0,incidens,2016/2017,6-11 months
Year 1 week 44,3.33,incidens,2017/2018,6-11 months
Year 1 week 44,0.0,incidens,2018/2019,6-11 months
Year 1 week 44,13.5,incidens,2019/2020,6-11 months
Year 1 week 44,0.0,incidens,2020/2021,6-11 months
Year 1 week 44,79.57,incidens,2021/2022,6-11 months
Year 1 week 44,359.71,incidens,2022/2023,6-11 months
Year 1 week 44,42.81,incidens,2023/2024,6-11 months
Year 1 week 44,10.82,incidens,2024/2025,6-11 months
Year 1 week 45,0.0,incidens,2015/2016,6-11 months
Year 1 week 45,3.35,incidens,2016/2017,6-11 months
Year 1 week 45,3.34,incidens,2017/2018,6-11 months
Year 1 week 45,0.0,incidens,2018/2019,6-11 months
Year 1 week 45,10.13,incidens,2019/2020,6-11 months
Year 1 week 45,0.0,incidens,2020/2021,6-11 months
Year 1 week 45,66.03,incidens,2021/2022,6-11 months
Year 1 week 45,340.84,incidens,2022/2023,6-11 months
Year 1 week 45,92.78,incidens,2023/2024,6-11 months
Year 1 week 45,0.0,incidens,2024/2025,6-11 months
Year 1 week 46,0.0,incidens,2015/2016,6-11 months
Year 1 week 46,23.42,incidens,2016/2017,6-11 months
Year 1 week 46,13.38,incidens,2017/2018,6-11 months
Year 1 week 46,3.27,incidens,2018/2019,6-11 months
Year 1 week 46,3.39,incidens,2019/2020,6-11 months
Year 1 week 46,0.0,incidens,2020/2021,6-11 months
Year 1 week 46,56.02,incidens,2021/2022,6-11 months
Year 1 week 46,400.48,incidens,2022/2023,6-11 months
Year 1 week 46,150.01,incidens,2023/2024,6-11 months
Year 1 week 46,14.41,incidens,2024/2025,6-11 months
Year 1 week 47,3.52,incidens,2015/2016,6-11 months
Year 1 week 47,23.37,incidens,2016/2017,6-11 months
Year 1 week 47,13.37,incidens,2017/2018,6-11 months
Year 1 week 47,6.55,incidens,2018/2019,6-11 months
Year 1 week 47,16.89,incidens,2019/2020,6-11 months
Year 1 week 47,0.0,incidens,2020/2021,6-11 months
Year 1 week 47,29.59,incidens,2021/2022,6-11 months
Year 1 week 47,264.76,incidens,2022/2023,6-11 months
Year 1 week 47,192.58,incidens,2023/2024,6-11 months
Year 1 week 47,10.8,incidens,2024/2025,6-11 months
Year 1 week 48,7.06,incidens,2015/2016,6-11 months
Year 1 week 48,36.71,incidens,2016/2017,6-11 months
Year 1 week 48,3.33,incidens,2017/2018,6-11 months
Year 1 week 48,13.08,incidens,2018/2019,6-11 months
Year 1 week 48,70.92,incidens,2019/2020,6-11 months
Year 1 week 48,0.0,incidens,2020/2021,6-11 months
Year 1 week 48,59.04,incidens,2021/2022,6-11 months
Year 1 week 48,130.76,incidens,2022/2023,6-11 months
Year 1 week 48,324.21,incidens,2023/2024,6-11 months
Year 1 week 48,35.96,incidens,2024/2025,6-11 months
Year 1 week 49,7.05,incidens,2015/2016,6-11 months
Year 1 week 49,53.28,incidens,2016/2017,6-11 months
Year 1 week 49,3.31,incidens,2017/2018,6-11 months
Year 1 week 49,9.79,incidens,2018/2019,6-11 months
Year 1 week 49,83.99,incidens,2019/2020,6-11 months
Year 1 week 49,0.0,incidens,2020/2021,6-11 months
Year 1 week 49,22.84,incidens,2021/2022,6-11 months
Year 1 week 49,120.43,incidens,2022/2023,6-11 months
Year 1 week 49,514.86,incidens,2023/2024,6-11 months
Year 1 week 49,39.37,incidens,2024/2025,6-11 months
Year 1 week 50,10.52,incidens,2015/2016,6-11 months
Year 1 week 50,26.53,incidens,2016/2017,6-11 months
Year 1 week 50,3.3,incidens,2017/2018,6-11 months
Year 1 week 50,25.98,incidens,2018/2019,6-11 months
Year 1 week 50,96.71,incidens,2019/2020,6-11 months
Year 1 week 50,0.0,incidens,2020/2021,6-11 months
Year 1 week 50,16.26,incidens,2021/2022,6-11 months
Year 1 week 50,79.24,incidens,2022/2023,6-11 months
Year 1 week 50,540.69,incidens,2023/2024,6-11 months
Year 1 week 50,74.74,incidens,2024/2025,6-11 months
Year 1 week 51,24.43,incidens,2015/2016,6-11 months
Year 1 week 51,72.79,incidens,2016/2017,6-11 months
Year 1 week 51,36.18,incidens,2017/2018,6-11 months
Year 1 week 51,22.64,incidens,2018/2019,6-11 months
Year 1 week 51,106.29,incidens,2019/2020,6-11 months
Year 1 week 51,0.0,incidens,2020/2021,6-11 months
Year 1 week 51,9.73,incidens,2021/2022,6-11 months
Year 1 week 51,82.56,incidens,2022/2023,6-11 months
Year 1 week 51,594.4,incidens,2023/2024,6-11 months
Year 1 week 51,74.59,incidens,2024/2025,6-11 months
Year 1 week 52,31.29,incidens,2015/2016,6-11 months
Year 1 week 52,62.51,incidens,2016/2017,6-11 months
Year 1 week 52,29.5,incidens,2017/2018,6-11 months
Year 1 week 52,51.59,incidens,2018/2019,6-11 months
Year 1 week 52,122.33,incidens,2019/2020,6-11 months
Year 1 week 52,0.0,incidens,2020/2021,6-11 months
Year 1 week 52,6.45,incidens,2021/2022,6-11 months
Year 1 week 52,58.34,incidens,2022/2023,6-11 months
Year 1 week 52,333.06,incidens,2023/2024,6-11 months
Year 1 week 52,92.01,incidens,2024/2025,6-11 months
Year 1 week 53,20.75,incidens,2015/2016,6-11 months
Year 1 week 53,0.0,incidens,2020/2021,6-11 months
Year 2 week 01,30.9,incidens,2015/2016,6-11 months
Year 2 week 01,97.88,incidens,2016/2017,6-11 months
Year 2 week 01,55.28,incidens,2017/2018,6-11 months
Year 2 week 01,41.61,incidens,2018/2019,6-11 months
Year 2 week 01,125.1,incidens,2019/2020,6-11 months
Year 2 week 01,0.0,incidens,2020/2021,6-11 months
Year 2 week 01,3.19,incidens,2021/2022,6-11 months
Year 2 week 01,78.39,incidens,2022/2023,6-11 months
Year 2 week 01,274.73,incidens,2023/2024,6-11 months
Year 2 week 01,130.59,incidens,2024/2025,6-11 months
Year 2 week 02,54.66,incidens,2015/2016,6-11 months
Year 2 week 02,55.03,incidens,2016/2017,6-11 months
Year 2 week 02,64.78,incidens,2017/2018,6-11 months
Year 2 week 02,60.67,incidens,2018/2019,6-11 months
Year 2 week 02,72.02,incidens,2019/2020,6-11 months
Year 2 week 02,0.0,incidens,2020/2021,6-11 months
Year 2 week 02,15.81,incidens,2021/2022,6-11 months
Year 2 week 02,33.94,incidens,2022/2023,6-11 months
Year 2 week 02,69.2,incidens,2023/2024,6-11 months
Year 2 week 02,87.62,incidens,2024/2025,6-11 months
Year 2 week 03,51.06,incidens,2015/2016,6-11 months
Year 2 week 03,67.36,incidens,2016/2017,6-11 months
Year 2 week 03,87.16,incidens,2017/2018,6-11 months
Year 2 week 03,95.26,incidens,2018/2019,6-11 months
Year 2 week 03,101.0,incidens,2019/2020,6-11 months
Year 2 week 03,0.0,incidens,2020/2021,6-11 months
Year 2 week 03,6.28,incidens,2021/2022,6-11 months
Year 2 week 03,27.0,incidens,2022/2023,6-11 months
Year 2 week 03,141.24,incidens,2023/2024,6-11 months
Year 2 week 04,54.13,incidens,2015/2016,6-11 months
Year 2 week 04,95.41,incidens,2016/2017,6-11 months
Year 2 week 04,154.66,incidens,2017/2018,6-11 months
Year 2 week 04,154.91,incidens,2018/2019,6-11 months
Year 2 week 04,129.7,incidens,2019/2020,6-11 months
Year 2 week 04,0.0,incidens,2020/2021,6-11 months
Year 2 week 04,3.12,incidens,2021/2022,6-11 months
Year 2 week 04,13.42,incidens,2022/2023,6-11 months
Year 2 week 04,154.13,incidens,2023/2024,6-11 months
Year 2 week 05,87.44,incidens,2015/2016,6-11 months
Year 2 week 05,91.55,incidens,2016/2017,6-11 months
Year 2 week 05,163.73,incidens,2017/2018,6-11 months
Year 2 week 05,160.79,incidens,2018/2019,6-11 months
Year 2 week 05,167.41,incidens,2019/2020,6-11 months
Year 2 week 05,0.0,incidens,2020/2021,6-11 months
Year 2 week 05,0.0,incidens,2021/2022,6-11 months
Year 2 week 05,10.06,incidens,2022/2023,6-11 months
Year 2 week 05,47.62,incidens,2023/2024,6-11 months
Year 2 week 06,83.92,incidens,2015/2016,6-11 months
Year 2 week 06,59.83,incidens,2016/2017,6-11 months
Year 2 week 06,220.48,incidens,2017/2018,6-11 months
Year 2 week 06,178.95,incidens,2018/2019,6-11 months
Year 2 week 06,160.44,incidens,2019/2020,6-11 months
Year 2 week 06,0.0,incidens,2020/2021,6-11 months
Year 2 week 06,0.0,incidens,2021/2022,6-11 months
Year 2 week 06,0.0,incidens,2022/2023,6-11 months
Year 2 week 06,81.55,incidens,2023/2024,6-11 months
Year 2 week 07,80.08,incidens,2015/2016,6-11 months
Year 2 week 07,62.73,incidens,2016/2017,6-11 months
Year 2 week 07,143.84,incidens,2017/2018,6-11 months
Year 2 week 07,162.6,incidens,2018/2019,6-11 months
Year 2 week 07,140.5,incidens,2019/2020,6-11 months
Year 2 week 07,0.0,incidens,2020/2021,6-11 months
Year 2 week 07,0.0,incidens,2021/2022,6-11 months
Year 2 week 07,13.39,incidens,2022/2023,6-11 months
Year 2 week 07,57.71,incidens,2023/2024,6-11 months
Year 2 week 08,69.63,incidens,2015/2016,6-11 months
Year 2 week 08,65.62,incidens,2016/2017,6-11 months
Year 2 week 08,156.24,incidens,2017/2018,6-11 months
Year 2 week 08,171.75,incidens,2018/2019,6-11 months
Year 2 week 08,114.4,incidens,2019/2020,6-11 months
Year 2 week 08,0.0,incidens,2020/2021,6-11 months
Year 2 week 08,0.0,incidens,2021/2022,6-11 months
Year 2 week 08,6.68,incidens,2022/2023,6-11 months
Year 2 week 08,57.52,incidens,2023/2024,6-11 months
Year 2 week 09,75.87,incidens,2015/2016,6-11 months
Year 2 week 09,34.19,incidens,2016/2017,6-11 months
Year 2 week 09,165.56,incidens,2017/2018,6-11 months
Year 2 week 09,99.62,incidens,2018/2019,6-11 months
Year 2 week 09,91.71,incidens,2019/2020,6-11 months
Year 2 week 09,0.0,incidens,2020/2021,6-11 months
Year 2 week 09,3.07,incidens,2021/2022,6-11 months
Year 2 week 09,6.67,incidens,2022/2023,6-11 months
Year 2 week 09,40.59,incidens,2023/2024,6-11 months
Year 2 week 10,36.18,incidens,2015/2016,6-11 months
Year 2 week 10,37.05,incidens,2016/2017,6-11 months
Year 2 week 10,95.07,incidens,2017/2018,6-11 months
Year 2 week 10,96.52,incidens,2018/2019,6-11 months
Year 2 week 10,62.76,incidens,2019/2020,6-11 months
Year 2 week 10,0.0,incidens,2020/2021,6-11 months
Year 2 week 10,3.06,incidens,2021/2022,6-11 months
Year 2 week 10,16.66,incidens,2022/2023,6-11 months
Year 2 week 10,20.26,incidens,2023/2024,6-11 months
Year 2 week 11,45.9,incidens,2015/2016,6-11 months
Year 2 week 11,18.46,incidens,2016/2017,6-11 months
Year 2 week 11,72.4,incidens,2017/2018,6-11 months
Year 2 week 11,111.87,incidens,2018/2019,6-11 months
Year 2 week 11,65.52,incidens,2019/2020,6-11 months
Year 2 week 11,0.0,incidens,2020/2021,6-11 months
Year 2 week 11,9.17,incidens,2021/2022,6-11 months
Year 2 week 11,0.0,incidens,2022/2023,6-11 months
Year 2 week 11,20.26,incidens,2023/2024,6-11 months
Year 2 week 12,39.02,incidens,2015/2016,6-11 months
Year 2 week 12,21.47,incidens,2016/2017,6-11 months
Year 2 week 12,91.09,incidens,2017/2018,6-11 months
Year 2 week 12,92.92,incidens,2018/2019,6-11 months
Year 2 week 12,77.72,incidens,2019/2020,6-11 months
Year 2 week 12,0.0,incidens,2020/2021,6-11 months
Year 2 week 12,3.05,incidens,2021/2022,6-11 months
Year 2 week 12,6.65,incidens,2022/2023,6-11 months
