year,week,Age_group,Number_of_citizens,Number_of_confirmed_cases,Number_of_new_admissions,Confirmed_cases_per_100k_citizens,New_admissions_per_100k_citizens,country,country_code
2015,U49,85+,476920,2,2,469,469,Denmark,DNK
2015,U49,Alle,22877064,31,20,121,77,Denmark,DNK
2015,U50,00-01,463472,6,3,962,548,Denmark,DNK
2015,U50,02-06,1246972,2,0,186,0,Denmark,DNK
2015,U50,07-14,2147192,4,2,164,82,Denmark,DNK
2015,U50,15-44,8677212,8,3,63,22,Denmark,DNK
2015,U50,45-64,6037856,6,4,96,60,Denmark,DNK
2015,U50,65-74,2553592,2,0,86,0,Denmark,DNK
2015,U50,75-84,1279928,2,2,145,145,Denmark,DNK
2015,U50,85+,477488,0,0,0,0,Denmark,DNK
2015,U50,Alle,22883712,30,14,112,50,Denmark,DNK
2015,U51,00-01,463472,5,5,876,876,Denmark,DNK
2015,U51,02-06,1246972,3,2,161,129,Denmark,DNK
2015,U51,07-14,2147192,5,2,198,82,Denmark,DNK
2015,U51,15-44,8677212,13,8,103,63,Denmark,DNK
2015,U51,45-64,6037856,10,4,146,66,Denmark,DNK
2015,U51,65-74,2553592,2,2,73,73,Denmark,DNK
2015,U51,75-84,1279928,2,0,145,0,Denmark,DNK
2015,U51,85+,477488,4,2,747,374,Denmark,DNK
2015,U51,Alle,22883712,44,25,155,90,Denmark,DNK
2015,U52,00-01,463472,4,2,656,328,Denmark,DNK
2015,U52,02-06,1246972,4,0,258,0,Denmark,DNK
2015,U52,07-14,2147192,2,0,82,0,Denmark,DNK
2015,U52,15-44,8677212,18,9,160,68,Denmark,DNK
2015,U52,45-64,6037856,13,11,209,180,Denmark,DNK
2015,U52,65-74,2553592,4,4,160,160,Denmark,DNK
2015,U52,75-84,1279928,0,0,0,0,Denmark,DNK
2015,U52,85+,477488,0,0,0,0,Denmark,DNK
2015,U52,Alle,22883712,45,26,170,99,Denmark,DNK
2015,U53,00-01,463472,8,3,1291,548,Denmark,DNK
2015,U53,02-06,1246972,0,0,0,0,Denmark,DNK
2015,U53,07-14,2147192,2,2,142,142,Denmark,DNK
2015,U53,15-44,8677212,6,4,67,42,Denmark,DNK
2015,U53,45-64,6037856,14,12,227,190,Denmark,DNK
2015,U53,65-74,2553592,6,2,279,86,Denmark,DNK
2015,U53,75-84,1279928,2,2,145,145,Denmark,DNK
2015,U53,85+,477488,0,0,0,0,Denmark,DNK
2015,U53,Alle,22883712,38,25,167,107,Denmark,DNK
2016,U01,00-01,466172,0,0,0,0,Denmark,DNK
2016,U01,02-06,1243792,1,1,32,32,Denmark,DNK
2016,U01,07-14,2147700,8,4,341,179,Denmark,DNK
2016,U01,15-44,8680432,21,8,259,104,Denmark,DNK
2016,U01,45-64,6041048,18,10,311,194,Denmark,DNK
2016,U01,65-74,2556304,2,2,73,73,Denmark,DNK
2016,U01,75-84,1282792,4,4,320,320,Denmark,DNK
2016,U01,85+,477480,0,0,0,0,Denmark,DNK
2016,U01,Alle,22895720,54,29,232,130,Denmark,DNK
2016,U02,00-01,466172,12,6,2798,1419,Denmark,DNK
2016,U02,02-06,1243792,8,4,519,259,Denmark,DNK
2016,U02,07-14,2147700,7,2,263,82,Denmark,DNK
2016,U02,15-44,8680432,41,16,403,167,Denmark,DNK
2016,U02,45-64,6041048,26,17,429,298,Denmark,DNK
2016,U02,65-74,2556304,7,7,347,347,Denmark,DNK
2016,U02,75-84,1282792,2,1,62,31,Denmark,DNK
2016,U02,85+,477480,0,0,0,0,Denmark,DNK
2016,U02,Alle,22895720,103,53,422,235,Denmark,DNK
2016,U03,00-01,466172,9,4,1914,981,Denmark,DNK
2016,U03,02-06,1243792,24,8,1849,633,Denmark,DNK
2016,U03,07-14,2147700,26,6,1284,224,Denmark,DNK
2016,U03,15-44,8680432,77,33,716,326,Denmark,DNK
2016,U03,45-64,6041048,59,29,981,456,Denmark,DNK
2016,U03,65-74,2556304,18,12,1004,667,Denmark,DNK
2016,U03,75-84,1282792,6,2,533,164,Denmark,DNK
2016,U03,85+,477480,4,2,842,469,Denmark,DNK
2016,U03,Alle,22895720,223,96,961,416,Denmark,DNK
2016,U04,00-01,466172,47,24,9816,5627,Denmark,DNK
2016,U04,02-06,1243792,46,7,3265,663,Denmark,DNK
2016,U04,07-14,2147700,51,7,2325,295,Denmark,DNK
2016,U04,15-44,8680432,184,47,1958,590,Denmark,DNK
2016,U04,45-64,6041048,135,74,2237,1199,Denmark,DNK
2016,U04,65-74,2556304,35,27,1577,1190,Denmark,DNK
2016,U04,75-84,1282792,26,20,2174,1740,Denmark,DNK
2016,U04,85+,477480,7,7,1747,1747,Denmark,DNK
2016,U04,Alle,22895720,531,213,2255,969,Denmark,DNK
2016,U05,00-01,467152,51,20,10434,4319,Denmark,DNK
2016,U05,02-06,1236884,103,29,7916,2117,Denmark,DNK
2016,U05,07-14,2142544,67,5,2724,198,Denmark,DNK
2016,U05,15-44,8615120,190,51,2038,538,Denmark,DNK
2016,U05,45-64,6012752,139,69,2335,1208,Denmark,DNK
2016,U05,65-74,2548660,74,46,3169,2042,Denmark,DNK
2016,U05,75-84,1277944,48,42,4131,3615,Denmark,DNK
2016,U05,85+,474372,12,12,2350,2350,Denmark,DNK
2016,U05,Alle,22775428,684,274,2919,1228,Denmark,DNK
2016,U06,00-01,467152,81,33,16677,8194,Denmark,DNK
2016,U06,02-06,1236884,125,30,9370,2193,Denmark,DNK
2016,U06,07-14,2142544,78,18,3228,617,Denmark,DNK
2016,U06,15-44,8615120,335,90,3601,956,Denmark,DNK
2016,U06,45-64,6012752,200,106,3548,1925,Denmark,DNK
2016,U06,65-74,2548660,86,70,3972,3297,Denmark,DNK
2016,U06,75-84,1277944,45,36,3821,3170,Denmark,DNK
2016,U06,85+,474372,16,15,4072,3987,Denmark,DNK
2016,U06,Alle,22775428,966,398,4222,1851,Denmark,DNK
2016,U07,00-01,467152,83,32,17204,5703,Denmark,DNK
2016,U07,02-06,1236884,110,25,9105,2230,Denmark,DNK
2016,U07,07-14,2142544,66,11,2991,465,Denmark,DNK
2016,U07,15-44,8615120,293,108,3333,1352,Denmark,DNK
2016,U07,45-64,6012752,227,112,3910,2030,Denmark,DNK
2016,U07,65-74,2548660,128,93,5778,4406,Denmark,DNK
2016,U07,75-84,1277944,88,76,8206,7105,Denmark,DNK
2016,U07,85+,474372,21,20,4531,4447,Denmark,DNK
2016,U07,Alle,22775428,1016,477,4634,2329,Denmark,DNK
2016,U08,00-01,467152,92,42,18425,8395,Denmark,DNK
2016,U08,02-06,1236884,98,24,7958,2113,Denmark,DNK
2016,U08,07-14,2142544,37,9,1689,486,Denmark,DNK
2016,U08,15-44,8615120,303,102,3415,1205,Denmark,DNK
2016,U08,45-64,6012752,230,126,4152,2475,Denmark,DNK
2016,U08,65-74,2548660,178,142,7729,6201,Denmark,DNK
2016,U08,75-84,1277944,97,83,8074,6949,Denmark,DNK
2016,U08,85+,474372,33,33,8364,8364,Denmark,DNK
2016,U08,Alle,22775428,1068,561,4856,2709,Denmark,DNK
2016,U09,00-01,467152,89,37,18616,8594,Denmark,DNK
2016,U09,02-06,1236884,114,25,9352,1918,Denmark,DNK
2016,U09,07-14,2142544,71,25,3529,1276,Denmark,DNK
