country,country_code,year,epiweek,month,age,type
Denmark,DNK,2019,33,08,0-5 months,cases
Denmark,DNK,2020,33,08,0-5 months,cases
Denmark,DNK,2021,33,08,0-5 months,cases
Denmark,DNK,2022,33,08,0-5 months,cases
Denmark,DNK,2023,33,08,0-5 months,cases
Denmark,DNK,2024,33,08,0-5 months,cases
Denmark,DNK,2016,34,08,0-5 months,cases
Denmark,DNK,2017,34,08,0-5 months,cases
Denmark,DNK,2018,34,08,0-5 months,cases
Denmark,DNK,2019,34,08,0-5 months,cases
Denmark,DNK,2020,34,08,0-5 months,cases
Denmark,DNK,2021,34,08,0-5 months,cases
Denmark,DNK,2022,34,08,0-5 months,cases
Denmark,DNK,2023,34,08,0-5 months,cases
Denmark,DNK,2024,34,08,0-5 months,cases
Denmark,DNK,2016,35,08,0-5 months,cases
Denmark,DNK,2017,35,08,0-5 months,cases
Denmark,DNK,2018,35,08,0-5 months,cases
Denmark,DNK,2019,35,08,0-5 months,cases
Denmark,DNK,2020,35,08,0-5 months,cases
Denmark,DNK,2021,35,08,0-5 months,cases
Denmark,DNK,2022,35,08,0-5 months,cases
Denmark,DNK,2023,35,08,0-5 months,cases
Denmark,DNK,2024,35,08,0-5 months,cases
Denmark,DNK,2016,36,09,0-5 months,cases
Denmark,DNK,2017,36,09,0-5 months,cases
Denmark,DNK,2018,36,09,0-5 months,cases
Denmark,DNK,2019,36,09,0-5 months,cases
Denmark,DNK,2020,36,08,0-5 months,cases
Denmark,DNK,2021,36,09,0-5 months,cases
Denmark,DNK,2022,36,09,0-5 months,cases
Denmark,DNK,2023,36,09,0-5 months,cases
Denmark,DNK,2024,36,09,0-5 months,cases
Denmark,DNK,2016,37,09,0-5 months,cases
Denmark,DNK,2017,37,09,0-5 months,cases
Denmark,DNK,2018,37,09,0-5 months,cases
Denmark,DNK,2019,37,09,0-5 months,cases
Denmark,DNK,2020,37,09,0-5 months,cases
Denmark,DNK,2021,37,09,0-5 months,cases
Denmark,DNK,2022,37,09,0-5 months,cases
Denmark,DNK,2023,37,09,0-5 months,cases
Denmark,DNK,2024,37,09,0-5 months,cases
Denmark,DNK,2016,38,09,0-5 months,cases
Denmark,DNK,2017,38,09,0-5 months,cases
