Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
01,218,116,82,113,113,104,103,119,123,171,205,170,137,127,145,213,346,2
02,375,245,229,256,200,199,196,183,201,269,307,323,270,222,210,312,681,4
03,757,638,581,521,250,235,286,302,302,448,510,446,342,273,266,418,776,5
04,1122,1067,1167,883,404,403,525,541,535,719,890,891,576,427,399,602,1173,15
05,1433,1338,1474,1233,557,664,756,789,800,1124,1283,1164,951,704,700,925,1776,13
06,1805,1365,1340,1132,689,841,946,1037,1002,1356,1568,1534,1153,874,904,1313,2155,26
07,1794,1144,871,897,595,750,872,897,851,1195,1385,1460,1165,829,802,1093,2015,33
08,1287,827,668,630,406,586,692,724,659,881,1186,1192,904,687,658,995,1961,12
09,682,518,314,289,168,271,345,340,319,434,612,551,475,387,332,567,959,12
10,392,272,205,171,133,182,187,205,183,276,341,377,278,214,190,259,495,6
11,169,151,87,96,59,70,92,99,110,136,173,162,145,119,90,147,230,7
12,108,103,70,52,27,49,60,48,67,79,95,106,83,65,64,81,142,6
13,86,55,43,25,11,15,33,37,47,51,63,54,60,35,26,38,64,2
14,58,55,35,22,10,9,17,20,17,24,34,32,27,24,13,30,48,3
15,23,22,7,16,5,8,9,8,9,9,17,11,13,10,9,10,15,2
16,11,4,8,4,4,3,3,5,5,10,8,11,9,6,11,10,14,
17,15,12,22,5,3,6,7,8,10,4,9,10,8,8,3,8,13,
18,17,15,5,7,4,3,5,3,2,9,9,10,5,7,3,5,17,
19,20,6,11,5,2,2,5,8,5,5,10,9,9,6,7,10,11,
20,9,10,6,4,1,2,4,1,3,9,4,7,7,4,7,6,6,
21,8,8,1,2,1,1,2,1,2,4,4,3,3,,,3,4,
22,4,3,1,2,2,2,4,3,,,3,3,1,3,,2,6,
23,4,1,1,1,,,2,1,1,1,,2,,1,4,1,2,
24,,,2,1,,1,4,,2,1,,,2,1,1,1,1,
25,1,3,,1,1,1,,,,1,1,4,3,1,,2,2,
26,1,,,,,,2,,,,1,2,,2,,2,,
27,1,,,3,,,2,,1,,,,,1,3,,,
28,3,1,,,,1,1,2,,,1,,2,1,,,1,
29,,,,,,1,1,,,,,,,,,1,,
30,2,,,,,1,2,,2,1,,2,,2,1,1,,1
31,3,,,,3,,3,,1,,1,1,1,2,1,,,
32,2,1,2,,,1,,1,1,,2,,,1,,,1,
33,,,,,,,,,,,1,,,1,,,1,
34,,,1,,,,,,,,,,,,,2,,
35,1,1,,1,,2,2,1,,,3,,2,,,,,
36,5,1,2,,2,1,2,2,,1,,1,1,1,,,1,
37,2,1,1,1,,,,1,1,1,,1,2,1,1,,,
38,,3,1,1,,1,,,1,,1,2,1,3,,,3,
39,5,2,,2,2,1,1,,,3,2,1,2,3,2,4,2,
40,1,,1,2,2,2,6,1,3,4,2,5,2,1,3,3,2,
41,4,2,,1,5,,,,7,3,2,1,1,,4,2,,1
42,3,,1,1,,6,3,3,2,1,3,3,4,4,1,2,2,
43,4,4,1,1,2,1,2,4,3,1,3,4,4,1,3,1,2,
44,3,1,,,3,,2,,4,1,,1,4,3,,2,4,
45,7,5,4,,2,3,2,4,2,2,4,5,5,3,1,1,1,
46,6,3,2,1,2,4,2,4,1,3,4,5,4,1,1,1,1,
47,10,7,11,4,1,5,4,7,7,5,4,6,8,3,1,5,4,
48,7,19,11,10,1,4,3,7,9,4,5,5,4,4,3,5,3,
49,25,32,8,18,3,5,10,9,11,15,8,15,7,9,4,5,9,
50,45,51,28,18,10,11,7,21,23,23,20,20,16,15,12,13,10,2
51,63,87,47,29,16,15,21,38,41,29,42,51,28,33,23,23,32,2
52,102,83,50,55,30,10,24,48,55,43,40,55,40,31,37,44,86,
