Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
1,105,25,10,9,29,32,36,31,26,30,36,38,39,31,28,33,58,
2,186,89,40,57,68,74,110,92,73,102,133,96,78,64,46,65,108,6
3,476,222,94,78,86,136,190,164,150,169,170,180,130,68,72,96,155,5
4,890,534,181,150,164,244,259,331,273,269,355,324,232,139,130,149,275,15
5,1550,1020,398,391,371,529,654,723,643,683,834,716,558,281,300,331,546,36
6,2365,1428,651,738,595,857,1013,1140,998,1083,1255,1205,864,580,494,576,987,76
7,3332,1987,919,951,841,1172,1555,1619,1477,1636,2003,1848,1318,916,726,888,1658,58
8,3839,2028,901,984,985,1215,1613,1706,1560,1670,1987,1947,1572,1042,883,1028,1945,91
9,3408,1916,911,901,867,1163,1492,1520,1411,1496,1831,1885,1397,1013,798,1069,1923,102
10,2853,1582,767,858,798,998,1394,1336,1160,1268,1575,1631,1234,964,827,996,1854,57
11,2249,1378,637,752,658,838,1099,1168,979,1028,1275,1360,1017,739,618,745,1462,115
12,1869,1090,527,746,442,532,720,754,687,715,931,980,790,563,502,594,1199,61
13,1202,695,364,395,307,318,499,525,439,498,596,589,502,400,346,452,770,59
14,721,400,245,185,154,215,287,293,258,264,321,343,307,203,216,254,518,22
15,362,200,144,114,91,133,165,177,175,146,198,217,179,156,113,168,360,5
16,176,84,61,61,57,52,84,78,59,58,78,91,86,76,71,92,165,2
17,103,49,20,37,32,28,50,41,32,42,52,64,58,48,59,108,149,9
18,47,19,13,8,12,18,29,29,12,15,33,28,28,30,26,32,59,1
19,34,22,17,23,12,18,9,18,8,13,18,18,13,16,11,21,29,4
20,22,9,6,8,12,4,14,16,12,3,6,9,16,11,8,16,23,
21,18,7,5,5,3,7,7,5,6,6,10,14,8,5,4,15,14,4
22,10,4,2,4,2,4,4,7,3,1,5,7,1,2,5,5,17,
23,11,3,6,2,1,1,4,1,1,2,2,6,4,3,5,1,6,
24,5,1,,,3,1,3,1,1,,1,3,5,1,5,,,
25,1,,1,,2,1,,,,1,3,2,1,,,1,,
26,4,2,1,1,3,2,,2,1,2,,1,1,1,,1,,
27,2,1,,1,,,2,,,1,5,1,4,1,3,,1,
28,,,,,,3,2,1,,1,1,1,3,,1,,1,
29,1,,,1,1,,,1,,4,,4,2,2,,1,2,
30,,,,1,2,2,,,2,1,1,,,1,1,2,,
31,2,,2,,4,,1,,,2,2,,3,2,1,1,3,
32,2,1,,1,1,1,1,1,,,,1,1,1,1,,1,
33,,1,,,1,2,4,1,1,,1,3,1,,,3,1,
34,2,,2,1,,3,1,,1,1,,1,2,,1,,,
35,3,1,,,1,1,1,1,2,,1,3,1,3,,2,,
36,3,1,,2,5,1,2,1,2,,5,,1,1,,,,
37,3,3,3,1,2,1,1,1,3,3,3,4,3,1,1,,2,
38,3,1,,1,2,2,,4,,,2,5,1,3,,3,2,
39,2,2,,,1,1,5,2,7,1,5,4,1,3,3,,3,
40,3,2,,1,2,5,3,2,4,1,4,1,2,3,1,,1,
41,4,2,1,1,6,6,5,5,,5,9,3,2,3,1,3,6,
42,18,8,1,2,7,4,5,4,2,8,6,10,8,7,11,7,9,
43,10,7,3,1,6,5,8,2,6,4,7,8,3,,4,2,7,
44,8,8,1,3,1,9,5,3,2,4,3,7,6,3,2,2,4,
45,10,10,8,7,7,3,8,5,4,6,4,4,3,4,3,6,10,
46,12,17,5,3,3,8,7,9,4,9,4,6,6,4,5,9,3,
47,30,9,5,5,9,12,13,11,8,9,11,14,10,5,3,2,11,
48,72,37,9,5,5,22,24,15,19,15,12,18,16,18,11,9,9,1
49,76,54,21,11,14,30,33,29,24,19,17,25,12,11,10,13,18,
50,135,93,67,30,36,31,56,47,28,42,52,38,32,18,23,18,46,2
51,228,192,119,95,40,63,107,79,69,65,94,75,45,40,46,52,58,
52,134,107,50,34,16,55,65,37,30,41,50,32,33,19,27,37,66,
