Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
01,81,32,9,12,18,18,17,26,20,22,16,16,9,8,11,5,7,
02,119,85,18,23,24,34,30,30,43,40,44,28,18,20,6,7,5,
03,239,233,77,45,23,64,54,65,64,49,51,48,33,14,14,17,9,
04,519,419,170,76,49,92,143,145,128,133,119,96,62,30,22,20,23,
05,635,491,209,121,78,139,188,195,150,198,165,163,96,60,38,50,35,1
06,689,558,180,126,81,170,196,211,164,183,172,150,104,55,50,48,28,1
07,903,814,240,163,125,229,290,239,240,296,275,242,154,82,49,44,56,
08,1201,1144,505,302,178,297,399,392,326,372,347,308,186,116,98,83,91,3
09,1288,1528,682,439,217,432,477,429,366,427,440,304,227,144,119,118,76,5
10,1660,2114,952,626,308,525,617,548,429,493,493,405,285,184,156,138,105,4
11,1766,2211,1055,792,346,596,717,620,498,557,506,482,322,201,178,186,136,8
12,1466,1554,836,583,357,511,606,447,385,441,402,350,277,199,165,177,129,7
13,1104,967,387,303,235,387,411,317,267,295,267,238,192,158,189,166,166,5
14,750,576,236,216,192,335,363,277,194,235,223,227,184,134,144,115,105,3
15,456,419,192,140,101,159,189,128,104,113,112,103,92,66,70,65,57,
16,241,283,135,103,47,70,93,58,66,66,56,48,31,44,34,34,19,
17,158,192,98,59,29,52,45,41,36,27,31,34,28,23,15,16,18,1
18,74,94,36,17,17,20,31,26,14,19,10,15,19,9,10,11,10,
19,44,105,36,16,16,19,24,23,21,18,18,18,13,10,9,11,6,1
20,19,15,7,5,,11,9,2,10,11,4,3,6,5,3,2,9,1
21,18,7,7,,4,3,3,2,,3,3,3,2,2,2,2,1,
22,5,39,30,2,,1,2,1,3,3,,3,1,5,1,1,2,
23,5,1,2,,2,,2,1,,3,,2,,2,1,2,,
24,1,3,,,,,1,,2,2,1,,,,2,1,,
25,3,,,,,1,2,1,,1,1,,,,2,,,
26,3,1,,1,1,1,1,,2,,1,,1,,,1,2,
27,,1,1,,,,,,1,,1,1,,,,1,,
28,1,1,,,2,1,3,,,,,,1,,,,,
29,,1,,,,,,,1,2,1,,1,,,2,1,
30,4,6,1,,,,,1,2,4,1,1,1,1,,,,
31,1,1,,,,2,,2,,,,,,,1,,1,
32,4,,,,1,1,,,,,,,,,,,,
33,2,,1,,2,,,,,,,2,1,,,,,
34,4,,,1,,,1,,,,1,1,,,,2,1,
35,2,,1,,,3,,1,1,,,1,,,,1,,
36,2,1,,1,1,1,1,,,,1,3,,1,,,1,
37,4,1,1,,,,1,1,1,3,2,,,,1,,,
38,6,,,1,,2,2,1,2,2,1,,,3,,,,
39,2,1,1,1,,1,,1,2,4,3,4,,4,,1,,
40,4,,1,1,4,4,1,1,1,5,2,1,4,,2,2,1,
41,5,1,1,2,2,2,1,,1,2,5,3,1,,4,3,3,
42,7,2,1,2,2,3,,,1,4,4,1,2,2,3,2,4,
43,3,2,4,5,2,1,1,1,1,1,6,5,1,1,2,1,2,
44,8,1,3,2,2,2,3,5,2,2,4,6,5,1,2,6,4,
45,5,5,4,1,3,1,1,3,2,3,6,3,1,2,3,1,3,
46,9,9,6,12,5,4,3,3,4,9,4,11,5,7,1,3,5,
47,21,16,14,12,6,7,6,10,7,5,6,10,6,9,6,7,8,
48,25,17,22,15,6,8,4,12,8,13,10,8,9,11,6,4,14,1
49,48,36,61,36,14,14,14,7,13,13,20,22,9,8,17,10,16,
50,124,86,105,96,29,31,23,28,40,35,52,46,31,24,17,29,47,
51,133,127,150,137,39,44,49,56,55,78,81,96,66,64,66,56,98,4
52,131,103,131,105,48,55,55,60,76,83,109,111,88,93,83,101,257,8
