Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
1,5,,1,,2,,,4,1,1,5,4,2,2,,2,7,
2,5,1,,,3,2,1,,1,,2,3,1,3,2,2,7,
3,7,,1,,1,,1,,2,2,3,2,3,2,3,2,2,
4,1,,,1,,2,2,2,1,,,3,1,2,3,2,1,
5,1,,,1,,1,,2,1,,,,1,,,1,3,
6,,1,,,,2,1,,,,3,1,2,1,3,,2,
7,1,1,,,,,2,,1,,1,,2,2,2,1,1,
8,1,1,1,,,,1,,,,,,,1,2,,2,
9,,1,,,,,,1,1,,,,2,1,3,,1,
10,,3,1,1,,1,,,,,,2,3,,,1,4,
11,4,1,1,,1,,,,,,1,1,,1,,1,2,
12,1,1,,,,,,2,1,,,1,2,1,1,1,2,
13,,2,,,,,,3,,1,,2,,,1,,,
14,1,2,,,,,,,,,,1,1,3,2,,2,
15,1,,1,,,1,,1,1,,,1,1,,1,,2,
16,1,1,,,1,,,,,,1,1,2,1,,2,3,
17,1,1,,,1,,1,2,1,,1,,,,,2,,
18,,,,1,,1,,,,,1,,,,,1,3,1
19,1,,,,,,,1,,,,1,,,,1,1,
20,2,,,,,,1,,2,,,1,,,,,1,
21,,,,1,,1,,,,1,2,,1,1,,1,,
22,,,1,1,1,,,,,,2,1,,,,1,4,
23,,,,,,,,,1,,,,,,2,,2,
24,,,,,,,,,,,,,,,1,,1,
25,1,1,,2,,,1,,,1,,1,,1,,,,
26,1,1,,,,,,,,,,1,,,,,1,
27,1,,,,,,,,1,,,1,1,,,,,
28,1,,,,,2,,,1,,,,,,1,,1,
29,1,,,1,,,1,1,,,1,1,1,,1,1,1,
30,1,,,,,,,,,,,,,,,1,,
31,,1,,1,,,,,,2,,,,,1,2,,
32,1,2,,,,,,,,,,1,,,,,,
33,,,,,1,1,,,,,1,,,,,,,
34,3,,,1,2,1,,1,,,,,1,,1,,,
35,4,,1,3,7,2,1,1,2,,1,,,,,,1,
36,1,,,3,5,1,,1,,,1,,,1,1,1,2,
37,2,,2,2,1,1,2,3,1,,2,,,1,,,1,
38,3,,,1,1,,,,1,,,1,,,,,,
39,5,1,,,4,,5,2,1,2,1,1,2,1,,2,1,
40,7,2,1,,4,1,,1,2,,,1,,,,1,4,
41,1,3,1,1,3,2,1,1,2,2,,1,1,,,,,
42,6,1,2,1,6,4,1,1,1,,,4,3,1,2,,1,
43,6,2,1,,6,,3,3,,1,1,3,1,2,1,,3,
44,5,1,1,2,,1,5,,2,2,4,2,6,1,1,,5,
45,8,3,1,2,4,2,2,2,3,1,4,3,4,2,3,,3,
46,3,5,,3,1,5,4,2,2,,3,2,3,2,1,2,2,
47,10,2,3,1,2,1,4,4,1,3,,2,1,2,2,1,1,
48,8,5,3,2,2,2,2,4,2,,,1,1,1,,4,3,
49,13,9,3,4,3,9,5,3,5,7,,2,1,,1,1,3,
50,21,16,5,7,5,9,6,9,1,2,2,4,2,4,2,2,2,
51,18,10,3,4,8,9,11,4,1,3,,1,1,4,1,1,2,
52,8,8,5,5,6,10,14,5,4,3,2,3,2,4,3,1,7,
