Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
1,190,123,54,54,37,53,60,105,95,132,139,133,90,78,77,103,157,
2,282,229,169,134,94,87,127,182,220,237,278,243,174,158,135,166,212,7
3,770,669,383,279,149,148,198,324,302,380,387,356,245,165,157,192,291,10
4,1164,1597,1030,666,278,274,385,672,737,755,830,724,527,332,259,310,478,34
5,1675,2477,1884,1208,436,438,643,1136,1190,1278,1364,1196,890,519,402,505,757,128
6,1986,2176,1528,1123,498,516,774,1380,1504,1681,1705,1565,1190,648,577,729,994,35
7,2352,2078,1341,1211,808,820,1150,1805,1870,2243,2398,2239,1671,1016,837,1043,1660,45
8,3337,2964,1797,1886,1354,1283,1820,2710,2816,3380,3887,3554,2619,1667,1360,1825,2779,60
9,4223,3527,2163,2051,1420,1534,2189,3075,3101,3764,4480,4288,3217,2073,1820,2353,3832,279
10,5043,4121,2537,2379,1579,1939,2682,3733,3719,4445,5314,5148,3931,2627,2164,2963,4647,217
11,4825,3335,2098,1870,1363,1684,2345,3204,3067,3689,4550,4395,3389,2383,1984,2597,4015,194
12,3269,2093,1000,897,764,975,1468,1880,1743,1969,2324,2438,1844,1321,1115,1456,2180,90
13,1969,1013,370,435,381,545,757,1014,871,987,1177,1203,963,733,609,812,1148,26
14,906,429,146,152,150,260,356,497,436,506,582,630,489,397,332,463,718,7
15,540,238,118,112,118,158,263,331,303,302,339,365,275,246,166,240,364,3
16,326,161,53,61,63,80,104,161,119,111,162,149,103,93,111,97,139,4
17,106,44,10,17,7,8,19,44,31,22,34,33,25,36,26,29,29,1
18,38,18,1,8,7,10,16,15,10,12,14,15,11,13,7,21,11,
19,25,4,,6,4,4,5,4,4,5,1,4,7,2,3,1,8,
20,8,,2,,1,3,4,1,1,4,5,3,5,4,4,5,2,
21,5,2,1,2,2,2,1,1,2,1,1,4,3,2,1,,1,
22,13,9,1,,2,3,,1,,1,1,2,2,,3,3,,
23,7,,1,2,,,2,,,3,,1,1,1,,1,,
24,3,3,,,,,2,3,4,1,1,1,2,2,,,,
25,,2,1,,,3,2,1,,,,2,2,3,,,1,
26,2,1,,,,,,,,1,,1,,,,2,,
27,5,,,2,,,3,1,,2,1,2,1,1,1,1,,1
28,1,,1,,,1,2,,,,1,,1,1,,,,
29,3,,,,,3,,,,,2,,,1,2,,,2
30,4,1,,,,1,1,,,1,1,3,,,,,,
31,2,,,,,,,,2,1,1,1,1,1,,,,
32,1,,1,1,,1,,,,1,,,,1,2,,1,
33,,,1,,,,2,,1,,1,1,,,,,1,
34,,2,,1,,,1,,1,,,,,,,,1,
35,,,,,2,,2,,,1,,,,1,1,,,
36,2,,,,,2,1,2,2,1,3,1,,,,,,
37,2,,,,2,,,2,,1,,,1,,1,,,
38,1,,,,,1,1,,1,,1,2,1,,,,,
39,3,,1,1,,,,3,,2,3,3,,,,1,,
40,,,1,,,1,1,2,1,1,1,1,3,,,1,1,
41,5,1,,1,2,2,3,1,3,2,5,2,2,2,,3,,
42,9,1,,,,1,3,1,2,1,3,1,2,1,1,1,1,
43,5,2,2,2,2,3,5,4,1,3,6,4,4,,4,1,3,
44,7,1,3,,2,3,,2,1,1,2,3,2,5,2,,3,
45,19,6,3,5,3,3,1,3,3,5,8,4,3,3,2,3,1,
46,18,7,2,5,3,11,6,3,2,7,5,7,3,2,3,1,6,
47,19,11,5,9,2,5,3,6,7,5,9,4,3,6,4,3,3,
48,38,15,1,8,7,9,8,8,10,9,14,10,12,8,4,3,18,
49,47,30,9,13,7,9,17,15,16,16,18,15,17,8,12,11,24,2
50,68,43,6,7,12,18,23,13,20,18,19,23,18,14,14,13,13,
51,87,46,22,15,14,24,25,27,28,21,25,25,24,19,15,17,29,
52,49,23,9,8,8,18,22,11,15,11,8,27,16,11,15,20,27,
