Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
1,26,14,3,13,23,21,17,14,9,4,8,1,4,1,2,8,15,
2,34,14,17,19,25,24,19,16,12,6,10,5,5,3,5,3,13,
3,64,32,17,14,15,26,21,18,12,11,5,6,3,5,3,6,25,7
4,61,58,14,18,16,21,23,18,12,6,7,6,6,1,7,5,12,
5,58,88,27,18,12,18,25,23,17,10,5,5,8,4,5,1,6,
6,59,54,20,15,13,15,24,15,20,12,5,11,11,3,3,2,3,
7,47,47,20,8,8,10,27,15,16,5,5,6,4,4,6,8,10,
8,52,30,7,4,9,10,20,20,7,5,8,3,4,5,5,1,8,
9,43,29,15,18,11,11,10,11,12,6,1,3,9,6,,4,7,1
10,45,44,13,34,28,19,25,15,14,8,13,12,8,3,9,7,20,1
11,63,66,22,44,51,36,34,29,20,6,20,19,18,5,9,9,24,
12,85,77,44,56,66,50,43,34,24,19,29,24,13,12,12,15,34,2
13,82,91,48,77,72,54,44,37,42,25,17,20,18,12,12,7,47,
14,132,108,66,97,71,51,63,55,40,37,33,27,21,12,16,10,40,1
15,143,157,73,129,93,65,66,54,45,25,42,20,28,19,17,13,58,
16,149,114,56,128,104,75,67,52,44,31,40,41,37,21,27,16,57,1
17,201,149,108,208,154,96,91,83,63,49,48,55,50,33,25,36,67,2
18,226,315,198,207,157,95,108,93,62,48,38,52,33,20,13,17,51,
19,273,496,305,256,103,87,95,92,67,56,47,52,53,32,32,22,64,2
20,211,369,290,225,116,69,96,99,60,52,43,59,46,31,28,22,53,
21,140,202,100,75,59,50,63,49,42,20,13,40,23,13,16,16,33,
22,91,108,66,112,76,54,51,49,29,26,24,22,16,9,17,8,18,1
23,81,74,69,64,67,44,36,36,16,15,17,32,22,9,7,7,19,1
24,82,62,42,66,64,52,45,23,25,17,12,9,21,10,12,11,25,
25,43,81,42,101,69,37,38,16,13,10,12,13,15,16,8,7,15,
26,34,28,31,50,44,31,30,13,18,16,11,7,8,4,7,3,12,2
27,22,22,22,39,19,21,16,10,6,5,8,5,7,3,3,2,6,1
28,19,18,16,54,37,17,9,12,7,6,5,5,6,3,2,3,8,
29,25,13,10,34,32,24,15,15,3,4,6,6,4,2,1,1,3,
30,16,5,6,34,27,20,17,9,4,6,5,7,7,,1,4,8,
31,5,13,10,57,26,20,9,5,2,2,2,3,3,5,2,2,5,
32,12,14,8,38,33,16,15,6,2,4,4,2,7,4,,1,7,
33,16,10,10,61,36,20,13,6,6,6,1,9,4,4,3,5,2,
34,17,9,9,56,49,25,21,11,6,11,7,9,10,1,1,3,6,
35,18,15,10,50,41,21,20,16,6,11,6,11,7,5,3,5,9,
36,18,31,24,35,31,16,18,18,12,5,8,8,5,6,6,5,4,
37,13,24,23,39,20,21,19,13,16,14,9,13,5,5,3,2,7,
38,37,47,33,34,16,19,25,17,17,10,10,10,12,4,8,4,8,
39,55,79,48,52,39,77,68,57,31,30,21,21,13,8,8,6,17,3
40,100,106,98,75,47,91,89,65,50,44,33,35,27,14,20,7,21,2
41,188,228,168,165,78,105,91,96,84,41,69,51,44,31,16,17,39,1
42,286,370,241,185,104,91,102,115,94,65,50,51,52,23,32,30,59,4
43,318,456,302,215,117,99,112,146,112,60,60,54,52,36,33,30,48,2
44,362,446,238,222,131,102,154,164,106,76,52,68,45,32,39,37,76,4
45,602,670,389,343,201,163,221,249,181,125,102,103,85,65,66,52,72,
46,936,1466,913,643,313,333,402,395,342,232,195,170,127,107,93,75,148,21
47,1818,3070,2227,1386,642,621,909,949,755,446,420,417,342,226,212,159,394,78
48,3498,5345,4600,3066,1373,1303,1798,1901,1660,1089,985,952,848,503,410,361,873,65
49,5399,7181,5619,4566,2641,2486,3333,3313,2708,1819,1652,1850,1587,946,904,721,1844,62
50,6491,6788,5592,5046,3522,3177,4125,4038,3212,2401,2426,2785,2492,1528,1495,1296,3544,70
51,5685,3992,2865,3641,3233,3119,3770,3436,2823,2153,2354,2924,2679,1835,1865,1621,4847,77
52,2376,1129,637,843,1081,1157,1376,1219,928,767,937,1258,1321,1147,1206,1190,3589,49
