Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
1,963,447,138,152,180,208,309,358,347,335,394,454,415,334,315,292,677,3
2,1175,703,228,258,236,257,396,471,449,430,478,584,476,326,315,311,751,5
3,2291,1695,532,427,341,421,641,861,815,687,853,1041,875,543,513,494,1266,69
4,3681,3128,1030,797,647,740,1317,1682,1641,1467,1685,2072,1591,1009,953,900,2253,29
5,4295,3247,1263,1019,820,961,1698,2117,1986,1870,2183,2671,2272,1377,1391,1261,3203,25
6,4085,2924,1167,987,825,956,1639,2128,2059,1852,2229,2798,2391,1576,1545,1435,3754,58
7,3068,1870,653,669,640,704,1118,1466,1510,1286,1576,1958,1661,1152,1086,1059,2800,16
8,2212,1310,562,643,572,671,934,1099,1138,965,1253,1575,1237,832,846,780,2095,19
9,1260,809,419,396,288,316,512,624,535,503,643,759,640,435,461,464,1163,5
10,737,711,437,313,164,193,312,398,375,306,369,456,378,295,293,271,757,7
11,528,613,436,277,136,154,245,325,290,236,223,313,246,206,201,178,547,5
12,393,486,533,310,116,142,206,255,203,151,141,169,164,120,132,97,335,2
13,233,340,236,143,89,68,128,133,133,89,49,71,77,67,47,77,171,1
14,207,211,143,115,89,71,117,138,112,52,64,63,43,36,51,49,122,2
15,135,170,109,84,59,64,91,104,91,39,44,39,36,35,28,29,81,3
16,91,131,95,62,26,37,50,49,55,28,22,23,24,23,23,18,44,1
17,128,144,118,83,32,40,46,45,38,28,31,20,31,29,25,30,64,
18,82,119,125,90,27,46,39,67,50,29,26,22,26,16,24,22,44,
19,65,113,107,70,25,28,35,44,35,30,15,16,15,8,18,15,44,
20,48,88,100,43,24,29,31,43,34,13,17,27,13,11,17,14,33,
21,27,46,46,19,14,14,26,24,23,11,9,9,19,4,6,4,16,
22,32,29,34,18,8,11,14,19,9,15,8,8,2,8,3,12,14,1
23,24,30,14,11,13,7,7,13,8,13,7,7,2,7,6,5,24,
24,10,15,16,16,5,5,7,15,8,7,8,3,5,7,7,5,24,
25,13,15,13,8,7,9,9,9,9,6,3,13,5,4,11,12,11,
26,14,4,9,9,3,7,8,9,6,,5,12,11,9,7,5,22,1
27,10,9,2,8,5,7,5,7,8,2,1,8,9,4,4,4,11,
28,3,8,3,7,3,12,8,2,6,7,6,3,8,7,2,3,15,
29,7,6,4,9,4,2,6,5,6,6,2,5,6,8,6,5,20,1
30,7,7,3,12,7,4,4,4,5,2,4,12,4,4,8,3,14,
31,4,6,1,16,12,4,7,,5,1,5,3,3,1,5,3,8,
32,8,4,6,14,11,8,3,3,3,2,4,1,2,3,3,5,8,
33,9,6,7,15,8,11,3,3,5,1,5,7,6,4,4,1,8,
34,14,6,5,21,9,7,8,9,4,5,4,8,11,5,7,5,10,
35,18,8,7,17,8,7,6,8,5,5,3,5,7,4,3,1,17,
36,8,11,4,14,7,15,10,10,7,4,3,11,12,6,5,5,15,
37,6,5,4,11,6,8,8,8,9,3,8,6,7,4,4,9,10,
38,15,9,,6,12,2,12,7,4,9,10,7,9,6,6,6,21,
39,19,6,8,10,9,6,10,9,5,2,6,16,17,11,9,6,16,
40,18,8,11,9,10,10,7,11,8,9,10,10,15,15,8,9,18,
41,23,14,7,12,12,15,17,9,11,9,12,15,17,14,15,20,42,2
42,26,19,10,8,13,18,10,17,10,18,9,14,16,11,18,7,34,
43,24,24,7,18,12,13,16,14,13,14,16,18,20,12,13,15,31,
44,22,20,12,9,9,11,21,15,11,9,8,24,18,20,6,4,33,
45,40,34,15,11,6,7,18,9,22,20,14,19,11,10,10,17,43,
46,47,28,21,18,15,12,16,29,24,19,23,21,27,17,9,16,38,
47,85,68,34,35,21,19,27,29,40,27,32,25,32,21,25,18,50,
48,119,137,75,51,24,22,48,57,35,41,35,60,38,29,26,25,98,1
49,147,198,110,58,33,46,43,63,70,66,54,77,57,48,27,50,108,
50,296,376,202,107,59,73,102,123,126,108,127,122,114,79,59,74,166,
51,502,677,373,202,104,149,190,259,249,212,189,243,233,173,148,145,352,2
52,295,282,126,82,74,91,122,125,159,113,116,158,162,116,131,147,353,1
