Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
1,253,94,47,65,77,96,101,87,65,66,101,86,88,66,75,69,127,1
2,375,211,108,129,177,247,236,217,194,183,234,220,158,133,104,112,242,20
3,943,571,273,256,189,305,361,300,285,297,323,304,231,127,121,126,230,16
4,1538,1247,576,493,259,385,533,469,460,434,482,433,341,193,178,177,277,12
5,2505,2360,1495,1117,622,854,1082,994,902,895,1004,978,665,381,308,352,621,25
6,3554,3168,2005,1670,886,1161,1567,1476,1261,1213,1450,1256,950,557,438,435,853,19
7,3467,2600,1618,1667,872,1100,1503,1453,1170,1139,1233,1141,827,534,422,477,802,148
8,3379,2560,1531,1153,836,1074,1546,1423,1145,1070,1248,1242,868,566,495,543,1031,247
9,3411,2284,1390,1342,1073,1372,1669,1477,1221,1227,1361,1329,961,624,497,546,1117,189
10,3519,2602,1566,1630,1390,1649,2168,1882,1528,1459,1747,1499,1154,766,582,579,1170,154
11,2712,2260,1511,1438,981,1086,1488,1292,1114,1043,1146,1127,834,624,469,545,1067,94
12,1738,1417,814,591,515,502,737,659,546,534,591,608,479,332,321,361,730,46
13,550,352,165,144,141,196,243,301,189,185,228,203,185,152,147,119,382,12
14,190,122,67,43,56,50,88,102,80,66,75,75,81,45,57,65,178,8
15,92,57,26,21,24,31,29,43,31,32,32,33,43,13,21,23,76,1
16,55,50,19,26,17,30,41,25,21,34,28,32,15,15,19,18,50,
17,45,20,9,11,9,12,18,20,12,10,11,18,7,8,13,17,29,
18,23,12,7,7,8,6,7,19,5,4,15,12,6,4,4,5,17,
19,43,30,23,5,21,13,34,25,13,12,8,10,14,14,8,10,35,
20,21,17,10,12,13,16,14,20,9,8,20,17,20,8,11,8,20,
21,13,12,6,10,6,6,12,5,6,3,6,11,5,5,5,6,10,
22,7,5,7,6,5,6,6,1,4,6,7,6,3,4,2,5,9,
23,7,4,3,,1,5,5,2,3,2,7,3,3,4,1,3,6,
24,8,7,5,3,2,3,2,3,1,5,1,2,2,1,2,,5,
25,10,12,10,4,5,5,7,8,4,5,7,7,3,1,,2,3,
26,23,31,20,16,16,14,19,21,14,18,15,23,12,8,4,5,17,
27,,1,,2,,1,,,,,,,2,,,,1,
28,,,,1,,,,1,,,,,,,,1,1,
29,,,,1,,,,,,,,,,1,,2,4,2
30,1,,,1,,,1,,,,1,,,,,1,,
31,2,1,,1,1,1,,,,,,,1,,2,,3,
32,,,,,2,1,,,1,,,,,,,2,,
33,1,,,,1,,,,,,2,1,,,2,1,3,
34,,,,,,,,,,1,,,,,,,1,
35,1,,1,,,,1,,,,1,1,,1,,,1,
36,,,,,,,2,,,1,,,,,,,,
37,,,,,,,,,,,,,,2,,,3,
38,,,,1,,1,,2,,,,,,,2,,,
39,1,,1,,,1,1,1,,1,1,,,1,1,1,1,
40,1,,,,,,,,,,,1,,,,3,1,
41,2,1,1,2,,,,3,1,1,,1,1,3,,,2,
42,3,,,,1,,2,1,2,1,2,1,,1,1,,1,
43,1,2,,,,1,2,1,,,2,,2,1,1,1,2,
44,3,2,1,2,3,1,,1,1,1,1,1,,,1,,2,
45,2,,1,2,1,,,1,,,1,,2,2,,2,4,
46,2,1,,,1,,2,,1,2,,2,,,1,1,5,
47,3,1,,,,4,2,1,1,,2,3,1,,3,1,1,
48,4,1,,1,,,2,,,3,,2,1,1,1,3,9,
49,,4,2,1,1,,2,1,2,,,3,,2,1,,6,
50,4,2,2,,1,,1,2,,4,,2,1,,1,2,2,
51,5,,2,1,4,,,,,1,1,,,2,4,2,5,
52,5,1,4,1,2,1,,,2,2,,2,1,1,,2,4,
53,2,,,,,1,,2,2,1,,1,1,,1,3,3,
