week,floor,ceiling,extract_date,weekly_cases,total_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,Total_0_14,Total_15_24,Total_25_44,Total_45_64,Total_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total,disease,ObjectId
2024 W31,2024/07/28 00:00:00+00,2024/08/03 00:00:00+00,2025/01/12 00:00:00+00,58,67116,4,13,8,13,20,18135,5825,12444,10747,19943,0.43,1.55,0.52,0.52,1.67,0.8,Influenza,942
2024 W31,2024/07/28 00:00:00+00,2024/08/03 00:00:00+00,2025/01/12 00:00:00+00,4,32089,0,0,1,0,3,22315,520,1540,2238,5461,0,0,0.02,0,0.13,0.03,RSV,943
2024 W32,2024/08/04 00:00:00+00,2024/08/10 00:00:00+00,2025/01/12 00:00:00+00,582,1745652,49,20,76,110,327,274849,263265,615368,410564,181472,5.27,3.77,6.19,8.51,44.31,12.03,COVID-19,944
2024 W32,2024/08/04 00:00:00+00,2024/08/10 00:00:00+00,2025/01/12 00:00:00+00,34,67150,4,9,8,2,11,18139,5834,12452,10749,19954,0.46,1.5,0.47,0.54,1.67,0.8,Influenza,945
2024 W32,2024/08/04 00:00:00+00,2024/08/10 00:00:00+00,2025/01/12 00:00:00+00,0,32089,0,0,0,0,0,22315,520,1540,2238,5461,0.07,0,0.02,0,0.17,0.05,RSV,946
2024 W33,2024/08/11 00:00:00+00,2024/08/17 00:00:00+00,2025/01/12 00:00:00+00,517,1746169,52,24,79,90,272,274901,263289,615447,410654,181744,5.8,3.46,5.32,7.16,37.01,10.42,COVID-19,947
2024 W33,2024/08/11 00:00:00+00,2024/08/17 00:00:00+00,2025/01/12 00:00:00+00,31,67181,6,7,4,6,8,18145,5841,12456,10755,19962,0.46,1.09,0.37,0.28,1.16,0.58,Influenza,948
2024 W33,2024/08/11 00:00:00+00,2024/08/17 00:00:00+00,2025/01/12 00:00:00+00,3,32092,2,0,0,0,1,22317,520,1540,2238,5462,0.1,0,0,0,0.04,0.03,RSV,949
2024 W34,2024/08/18 00:00:00+00,2024/08/24 00:00:00+00,2025/01/12 00:00:00+00,511,1746680,75,23,72,78,263,274976,263312,615519,410732,182007,6.16,3.26,5.46,6.8,35.85,10.24,COVID-19,950
2024 W34,2024/08/18 00:00:00+00,2024/08/24 00:00:00+00,2025/01/12 00:00:00+00,24,67205,4,5,4,3,8,18149,5846,12460,10758,19970,0.59,1.03,0.33,0.34,0.82,0.54,Influenza,951
