year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2020,W30,1,1,0,0,0,0,0.03,0,0,0,0,0.01
2018,W45,81,73,0,0,4,4,6.75,0,0.05,0.15,0.6,1.47
2018,W46,113,102,0,2,1,8,10.83,0,0.19,0.23,0.94,2.38
2018,W47,174,154,0,6,4,10,15.38,0.05,0.4,0.31,1.33,3.42
2018,W48,241,211,1,9,7,13,20.61,0.21,0.47,0.62,1.46,4.58
2018,W49,293,261,3,5,13,11,27.1,0.31,0.42,0.88,2.19,6.03
2018,W50,398,351,2,4,14,27,29.87,0.52,0.49,1.16,3.18,6.84
2018,W51,366,295,5,12,18,36,26.61,0.41,0.52,1.19,3.18,6.2
2018,W52,194,162,1,6,14,11,24.4,0.31,0.59,1.29,3.99,5.92
2019,W01,355,284,0,7,18,46,22.13,0.41,0.61,1.73,5.15,5.78
2019,W02,344,226,7,13,35,63,19.63,0.41,0.8,2.04,6.96,5.69
2019,W03,180,86,1,14,26,53,13.57,0.52,0.96,2.19,8.54,4.84
2019,W04,223,100,2,14,24,83,8.56,0.26,0.91,1.7,7.6,3.54
2019,W05,144,74,2,11,16,41,7.21,0.26,0.82,1.19,6.14,2.9
2019,W06,81,45,1,10,6,19,5.73,0.21,0.61,0.75,3.61,2.05
2019,W07,92,55,1,5,7,24,4.51,0.1,0.37,0.41,2.32,1.46
2019,W08,52,37,0,1,3,11,3.56,0.05,0.19,0.31,1.8,1.11
2019,W09,27,16,0,2,2,7,2.37,0,0.09,0.13,1.29,0.72
2019,W10,32,19,0,1,0,12,1.58,0,0.16,0.1,0.94,0.52
2019,W46,158,140,0,4,3,11,11.85,0.16,0.23,0.23,1.16,2.65
2019,W11,22,13,0,4,2,3,1.32,0,0.14,0.08,0.64,0.41
2019,W47,162,144,1,4,6,7,17.58,0.21,0.35,0.49,1.59,3.94
2019,W12,10,8,0,1,1,0,1.15,0,0.14,0.15,0.13,0.32
2019,W48,289,250,3,7,10,19,26.67,0.47,0.54,0.9,2.06,5.99
2020,W31,0,0,0,0,0,0,0.03,0,0,0,0,0.01
2019,W13,18,14,0,1,3,0,1.02,0.05,0.05,0.15,0.13,0.28
2019,W49,474,416,5,12,19,22,34.11,0.62,0.73,1.47,3.65,7.9
2019,W14,15,9,1,0,2,3,0.86,0.05,0.05,0.13,0.17,0.25
2020,W32,0,0,0,0,0,0,0,0,0,0,0,0
2019,W50,458,370,4,12,28,44,35.6,0.88,0.82,1.78,4.94,8.53
2019,W51,385,295,8,11,22,49,24.43,0.62,0.84,1.65,5.37,6.34
2019,W52,136,77,0,13,14,32,20.02,0.67,0.8,1.73,6.48,5.65
2020,W01,352,236,5,10,31,70,26.64,0.93,1.05,2.27,8.89,7.55
2020,W02,679,496,13,22,43,105,28.22,1.24,0.84,2.37,9.92,8.03
2020,W03,210,125,6,4,18,56,23.41,1.24,0.89,1.83,8.33,6.73
2020,W04,150,90,5,12,10,33,9.09,0.62,0.56,1.13,4.81,3.04
2020,W05,110,61,1,8,16,23,6.75,0.47,0.59,0.95,3.61,2.34
2020,W06,101,54,3,5,11,28,4.74,0.26,0.45,0.85,2.62,1.7
2020,W07,52,29,1,6,6,10,4.51,0.26,0.37,0.64,1.93,1.48
2020,W08,75,54,1,5,8,7,3.36,0.21,0.33,0.39,0.99,1.03
2020,W42,1,1,0,0,0,0,0.03,0,0,0,0,0.01
2018,W13,24,18,0,0,0,6,1.19,0,0.02,0.08,0.69,0.36
2019,W15,5,3,0,1,0,1,0.69,0.05,0.02,0.08,0.3,0.21
2019,W16,13,9,0,0,1,3,0.56,0,0.02,0.03,0.26,0.16
2020,W43,0,0,0,0,0,0,0.03,0,0,0,0,0.01
2018,W14,12,10,0,0,0,2,1.35,0.05,0,0,0.82,0.39
2019,W17,7,5,0,0,0,2,0.82,0,0,0.03,0.26,0.21
2018,W15,25,13,1,0,0,11,1.09,0.1,0,0.03,0.69,0.34
2020,W44,0,0,0,0,0,0,0,0,0,0,0,0
2018,W16,15,10,1,0,1,3,0.82,0.1,0,0.03,0.64,0.28
2019,W18,12,11,0,0,0,1,0.72,0,0,0,0.13,0.16
2020,W33,0,0,0,0,0,0,0,0,0,0,0,0
2018,W17,3,2,0,0,0,1,0.66,0.1,0,0.03,0.17,0.17
2019,W19,6,6,0,0,0,0,0.72,0,0,0,0.09,0.16
2020,W45,0,0,0,0,0,0,0,0,0,0,0,0
2018,W18,9,8,1,0,0,0,0.56,0.05,0.02,0,0.04,0.13
2020,W34,0,0,0,0,0,0,0,0,0,0,0,0
2019,W20,6,5,0,0,0,1,0.53,0,0.02,0,0.04,0.12
2020,W46,0,0,0,0,0,0,0,0,0,0,0,0
2018,W19,8,7,0,1,0,0,0.72,0.05,0.02,0,0.04,0.16
2019,W21,6,5,0,1,0,0,0.43,0,0.02,0,0.09,0.1
2020,W35,0,0,0,0,0,0,0,0,0,0,0,0
2018,W20,8,7,0,0,0,1,0.63,0,0.02,0,0.04,0.14
2020,W47,0,0,0,0,0,0,0,0,0,0,0,0
2019,W22,4,3,0,0,0,1,0.26,0,0.02,0,0.09,0.07
