year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2021,W40,150,146,1,1,1,1,14.98,0.1,0.14,0.13,0.17,3.06
2023,W03,142,48,2,11,22,59,5.43,0.72,1.2,2.01,9.45,3.42
2021,W24,0,0,0,0,0,0,0,0,0,0,0,0
2022,W22,13,10,0,0,3,0,0.69,0,0.05,0.08,0.04,0.17
2022,W05,25,14,0,5,2,4,2.01,0.26,0.4,0.1,1.12,0.73
2022,W06,12,4,3,1,0,4,0.69,0.16,0.14,0.08,0.47,0.28
2022,W07,7,3,0,0,1,3,0.36,0.16,0.07,0.03,0.39,0.17
2022,W08,8,4,0,2,0,2,0.3,0,0.07,0.05,0.34,0.14
2022,W09,7,2,0,1,1,3,0.36,0,0.07,0.05,0.39,0.16
2022,W10,10,5,0,0,1,4,0.33,0.05,0.02,0.05,0.3,0.14
2022,W11,4,3,1,0,0,0,0.4,0.05,0.02,0.05,0.21,0.14
2022,W12,7,4,0,1,1,1,0.33,0.05,0.02,0.03,0.04,0.09
2022,W13,3,3,0,0,0,0,0.36,0,0.02,0.03,0.09,0.1
2022,W14,5,4,0,0,0,1,0.33,0,0,0.03,0.04,0.08
2022,W15,4,3,0,0,1,0,0.3,0.05,0,0.03,0.04,0.08
2022,W16,3,2,1,0,0,0,0.36,0.05,0.02,0.03,0.04,0.1
2022,W17,8,6,0,1,0,1,0.4,0.05,0.05,0,0.04,0.1
2022,W18,5,4,0,1,0,0,0.46,0,0.07,0,0.09,0.12
2022,W19,6,4,0,1,0,1,0.4,0,0.05,0,0.04,0.1
2022,W20,4,4,0,0,0,0,0.33,0,0.02,0,0.09,0.08
2021,W41,222,210,1,5,4,2,21.3,0.16,0.33,0.31,0.34,4.43
2023,W19,6,3,0,0,1,2,0.2,0,0.02,0.05,0.21,0.09
2022,W23,11,9,0,2,0,0,0.72,0,0.05,0.08,0,0.17
2023,W04,111,43,3,4,11,50,3.98,0.31,0.59,1.16,6.05,2.19
2021,W25,0,0,0,0,0,0,0,0,0,0,0,0
2021,W42,313,291,1,8,7,5,28.22,0.16,0.68,0.59,0.77,6.03
2023,W20,1,0,0,1,0,0,0.1,0.05,0.02,0.03,0.13,0.06
2022,W24,3,3,0,0,0,0,0.72,0,0.05,0,0,0.16
2023,W05,85,30,1,10,12,32,2.96,0.36,0.49,0.88,4.42,1.65
2021,W26,0,0,0,0,0,0,0.03,0,0,0,0,0.01
2021,W43,397,356,1,16,12,11,34.77,0.41,1.05,0.88,2.02,7.72
2023,W21,2,0,1,0,0,1,0.03,0.05,0.02,0,0.04,0.03
2023,W06,59,17,3,7,11,21,2.24,0.31,0.42,0.72,3.18,1.26
2022,W25,10,10,0,0,0,0,0.63,0,0.02,0.03,0.13,0.16
2021,W27,1,1,0,0,0,0,0.03,0,0,0,0,0.01
2021,W44,482,409,6,21,15,31,38.66,0.93,1.69,1.21,3.26,8.99
2023,W22,1,1,0,0,0,0,0.07,0.05,0,0,0.09,0.03
2023,W07,50,21,2,1,5,21,1.78,0.31,0.21,0.77,2.92,1.08
2022,W26,11,6,0,1,1,3,0.95,0.05,0.05,0.05,0.21,0.25
2021,W28,0,0,0,0,0,0,0.1,0,0,0,0,0.02
2021,W45,509,409,11,35,20,34,39.51,1.5,2.11,1.42,4.51,9.58
2023,W23,2,1,0,0,0,1,0.07,0,0,0,0.09,0.03
2023,W08,58,16,1,1,14,26,1.51,0.16,0.07,0.54,2.36,0.83
2023,W24,1,0,0,0,0,1,0.2,0,0,0,0.09,0.05
2022,W27,18,13,1,1,1,2,1.09,0.05,0.05,0.08,0.26,0.29
2021,W29,2,2,0,0,0,0,0.2,0.05,0,0,0,0.05
2023,W09,20,9,0,1,2,8,1.15,0.1,0.05,0.52,2.06,0.69
2021,W46,489,382,12,34,20,40,36.09,2.07,2.65,1.8,4.47,9.22
2023,W25,5,5,0,0,0,0,0.33,0,0,0,0.09,0.08
2022,W28,16,14,0,0,1,1,1.45,0.16,0.05,0.08,0.3,0.38
2021,W30,5,4,1,0,0,0,0.49,0.05,0,0,0,0.1
2023,W10,29,10,1,0,4,14,1.02,0.1,0.05,0.21,1.25,0.47
2021,W47,427,305,17,44,30,30,30.79,2.12,2.44,1.7,3.95,8.03
2023,W11,23,12,1,1,2,7,0.92,0.1,0.02,0.18,1.12,0.41
2023,W12,12,6,0,0,1,5,0.79,0.1,0.05,0.08,0.73,0.31
2023,W13,13,6,1,1,0,5,0.63,0.05,0.05,0.08,0.56,0.25
2023,W14,13,7,0,1,2,3,0.66,0.1,0.05,0.08,0.6,0.27
2023,W15,15,7,1,0,1,6,0.56,0.05,0.05,0.1,0.52,0.23
2023,W16,8,3,0,1,1,3,0.49,0.05,0.02,0.08,0.52,0.21
2023,W17,9,5,0,0,1,3,0.36,0,0.02,0.08,0.39,0.16
2023,W18,7,3,0,0,1,3,0.36,0,0,0.08,0.34,0.14
2022,W37,65,49,1,3,6,6,4.15,0.1,0.16,0.36,1.12,1.13
2022,W29,25,17,2,1,1,4,1.55,0.1,0.02,0.05,0.43,0.4
2023,W26,6,5,0,0,0,1,0.36,0,0,0,0.04,0.08
