year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2024,W45,155,33,11,31,33,47,3.16,1.4,1.71,1.91,3.69,2.3
2024,W46,122,32,10,34,25,21,4.15,1.71,2.34,2.27,4.12,2.87
2024,W47,166,61,12,35,30,28,6.16,2.12,2.93,2.58,4.81,3.66
2024,W48,277,94,19,56,45,63,9.09,3.31,4.8,4.92,10.13,6.29
2024,W49,529,121,33,114,116,145,16.96,5.27,7.87,9.38,20.87,11.67
2024,W50,997,300,50,166,203,278,35.4,10.44,15.89,20.52,49.25,25.23
2024,W51,2372,654,119,398,477,724,59.86,14.37,20.2,27.11,71.88,36.8
2024,W52,2315,864,109,298,372,672,78.86,21.97,28.94,41.55,120.74,54.9
2025,W01,3793,877,197,539,763,1416,77.61,28.85,33.65,48.53,150.15,63
2025,W02,3624,616,252,599,748,1409,NA,NA,NA,NA,NA,NA
2024,W20,101,19,17,27,15,23,1.81,2.02,1.8,1.6,3.61,2.05
2023,W36,16,1,4,5,1,5,0.23,0.31,0.23,0.13,0.43,0.25
2024,W21,78,17,9,17,16,19,1.58,1.76,1.52,1.11,2.79,1.65
2023,W37,9,3,0,3,2,1,0.16,0.21,0.26,0.1,0.3,0.2
2024,W22,76,12,8,21,12,23,1.12,1.09,1.12,0.95,2.83,1.33
2023,W38,6,1,0,3,1,1,0.26,0.1,0.23,0.1,0.21,0.19
2024,W23,52,5,4,10,9,24,0.86,0.72,1.05,0.7,2.32,1.07
2023,W39,14,4,2,4,1,3,0.26,0.16,0.23,0.1,0.39,0.22
2024,W24,38,9,2,14,6,7,0.79,0.67,0.75,0.64,1.89,0.9
2023,W40,14,3,1,3,2,5,0.43,0.26,0.26,0.31,0.69,0.37
2024,W25,49,10,7,8,10,13,0.76,0.83,0.7,0.67,1.25,0.81
2023,W41,29,6,2,4,9,8,0.59,0.36,0.26,0.39,0.86,0.46
2023,W42,28,9,4,4,4,7,1.22,0.47,0.33,0.52,0.99,0.67
2023,W43,46,22,3,6,7,8,1.68,0.41,0.4,0.39,0.82,0.71
2023,W44,36,20,1,7,4,4,2.11,0.62,0.54,0.67,0.99,0.96
2023,W45,66,22,8,10,15,11,1.98,0.83,0.75,0.67,1.25,1.06
2023,W46,61,18,7,15,7,14,2.04,1.4,1.15,0.95,1.8,1.4
2023,W47,90,22,12,24,15,17,3,1.81,1.64,1.19,3.31,2.07
2023,W48,168,51,16,31,24,46,5.1,3.21,2.58,1.93,5.97,3.5
2023,W49,283,82,34,55,36,76,11.13,5.17,4.94,3.56,12.54,6.98
2023,W50,628,205,50,125,78,170,19.13,9.05,8.3,6.83,21.17,12.09
2023,W51,957,294,91,174,151,247,24.6,10.6,11.06,8.97,29.37,15.9
2023,W52,871,248,64,173,119,267,26.18,14.79,16.15,13.92,48.86,22.32
2024,W01,1620,253,131,342,270,624,25.22,17.68,18.61,15.85,60.71,25.45
2024,W26,38,4,7,8,10,9,0.66,0.78,0.54,0.67,1.46,0.77
2024,W27,32,6,1,7,6,12,0.43,0.72,0.49,0.54,1.25,0.63
2024,W28,28,3,6,6,5,8,0.36,0.72,0.45,0.46,1.37,0.61
2024,W29,34,2,7,6,7,12,0.33,1.09,0.42,0.44,1.2,0.61
2024,W30,32,5,8,6,5,8,0.36,1.45,0.47,0.64,1.72,0.8
2024,W31,58,4,13,8,13,20,0.43,1.55,0.52,0.52,1.67,0.8
2024,W32,34,4,9,8,2,11,0.46,1.5,0.47,0.54,1.67,0.8
2024,W33,31,6,7,4,6,8,0.46,1.09,0.37,0.28,1.16,0.58
2024,W34,24,4,5,4,3,8,0.59,1.03,0.33,0.34,0.82,0.54
2024,W35,29,8,8,6,4,3,0.56,0.78,0.45,0.21,0.52,0.46
2024,W36,18,5,2,9,1,1,0.63,0.88,0.49,0.31,0.43,0.51
2024,W37,32,6,7,6,7,6,0.56,0.72,0.56,0.39,0.64,0.55
