"Week","flu_cases","RSV_cases"
1,"78116","909"
2,"190527","1235"
3,"267596","1135"
4,"283388","1363"
5,"214592","1258"
6,"129989","1341"
7,"61992","1289"
8,"44601","1395"
9,"29384","1488"
10,"20454","1471"
11,"14488","1558"
12,"12320","1588"
13,"8567","1539"
14,"7227","1393"
15,"8282","1652"
16,"12613","1825"
17,"10601","1755"
18,"4703","696"
19,"3636","792"
20,"4559","862"
21,"3092","1028"
22,"2442","766"
23,"1714","650"
24,"1240","820"
25,"977","925"
26,"898","1016"
27,"860","1264"
28,"919","1969"
29,"920","2077"
30,"780","3184"
31,"947","4441"
32,"1025","5033"
33,"1075","3974"
34,"1157","4290"
35,"1929","7673"
36,"3813","9842"
37,"5738","10846"
38,"5716","9170"
39,"4543","7441"
40,"4889","6545"
41,"4421","5805"
42,"3550","3889"
43,"3953","3181"
44,"4682","2788"
45,"5084","2090"
46,"9107","1828"
47,"15390","1608"
48,"27393","1637"
49,"47200","1585"
50,"77425","1617"
51,"105221","1702"
52,"115002","1766"
