"Week","flu_cases","RSV_cases"
1,"50","882"
2,"54","971"
3,"69","1566"
4,"55","1523"
5,"41","1050"
6,"37","824"
7,"26","726"
8,"27","529"
9,"21","626"
10,"18","596"
11,"17","565"
12,"14","423"
13,"15","390"
14,"16","312"
15,"6","404"
16,"18","416"
17,"8","438"
18,"11","303"
19,"6","292"
20,"4","536"
21,"8","628"
22,"2","695"
23,"7","838"
24,"6","1346"
25,"6","1828"
26,"12","2931"
27,"49","4738"
28,"142","7016"
29,"184","7170"
30,"142","7342"
31,"157","7192"
32,"111","4757"
33,"137","4049"
34,"137","3873"
35,"140","4518"
36,"133","4978"
37,"111","4978"
38,"78","3891"
39,"51","3705"
40,"68","3487"
41,"97","3053"
42,"106","3097"
43,"153","2942"
44,"270","2681"
45,"407","2449"
46,"546","2336"
47,"535","1835"
48,"636","1579"
49,"1238","1707"
50,"2592","1498"
51,"6103","1257"
52,"9768","852"
