"Week","flu_cases","RSV_cases"
1,"9964","3630"
2,"20369","2295"
3,"52226","2211"
4,"111738","1941"
5,"171570","1576"
6,"197956","1308"
7,"184176","1171"
8,"178685","1032"
9,"174970","980"
10,"139683","871"
11,"104107","782"
12,"68369","624"
13,"55341","573"
14,"34672","456"
15,"25007","633"
16,"20891","586"
17,"12362","487"
18,"6108","349"
19,"3353","326"
20,"2357","312"
21,"1424","342"
22,"862","268"
23,"645","280"
24,"363","262"
25,"173","366"
26,"161","368"
27,"133","432"
28,"131","632"
29,"86","632"
30,"92","835"
31,"80","1082"
32,"120","1052"
33,"92","1170"
34,"137","1632"
35,"161","2725"
36,"260","3347"
37,"458","4558"
38,"569","4204"
39,"795","5463"
40,"1111","7273"
41,"1158","6378"
42,"1843","5989"
43,"2329","5273"
44,"2903","4213"
45,"4133","3774"
46,"6843","3499"
47,"8843","3222"
48,"12334","3054"
49,"16404","2950"
50,"24857","2507"
51,"41428","2217"
52,"41438","1850"
