"Week","flu_cases","RSV_cases"
1,"100117","2427"
2,"163716","3459"
3,"183087","2181"
4,"195025","2320"
5,"144063","2240"
6,"94107","1885"
7,"60030","1586"
8,"40817","1420"
9,"29059","1402"
10,"21323","1361"
11,"19664","1276"
12,"18972","1043"
13,"12954","912"
14,"10547","764"
15,"7715","681"
16,"10185","776"
17,"9952","704"
18,"6836","515"
19,"3502","314"
20,"2906","305"
21,"2498","321"
22,"1952","302"
23,"1230","300"
24,"843","278"
25,"632","301"
26,"534","262"
27,"513","324"
28,"450","357"
29,"477","489"
30,"381","554"
31,"313","718"
32,"267","951"
33,"231","906"
34,"253","1119"
35,"310","1689"
36,"309","2083"
37,"347","2652"
38,"283","2936"
39,"239","1997"
40,"212","2643"
41,"319","3696"
42,"370","3861"
43,"498","4118"
44,"533","4740"
45,"650","4717"
46,"707","5465"
47,"919","6687"
48,"831","6598"
49,"1043","7311"
50,"1690","7469"
51,"2270","6933"
52,"3734","5756"
53,"4290","3173"
