"Week","flu_cases","RSV_cases"
1,"52082","1399"
2,"75576","1176"
3,"142144","1215"
4,"195501","1121"
5,"189231","1047"
6,"141666","788"
7,"118696","827"
8,"83714","674"
9,"67273","695"
10,"55004","737"
11,"50976","690"
12,"38231","577"
13,"33608","648"
14,"25048","619"
15,"19730","817"
16,"20127","948"
17,"15467","880"
18,"10001","592"
19,"6786","636"
20,"5184","737"
21,"3344","698"
22,"2100","726"
23,"1539","787"
24,"1265","863"
25,"1151","784"
26,"1012","853"
27,"902","1179"
28,"994","1778"
29,"941","2239"
30,"918","3306"
31,"993","4934"
32,"795","4956"
33,"671","5389"
34,"604","6601"
35,"826","10189"
36,"899","10123"
37,"1081","10500"
38,"894","7868"
39,"1021","7206"
40,"1047","6155"
41,"862","4603"
42,"1201","3988"
43,"1772","4083"
44,"2407","3033"
45,"2588","2788"
46,"3799","2384"
47,"7280","2240"
48,"12785","2309"
49,"20127","2452"
50,"36664","2266"
51,"63774","2316"
52,"85976","2132"
