"Week","flu_cases","RSV_cases"
1,"64553","649"
2,"90811","1023"
3,"83037","863"
4,"89436","1036"
5,"70076","1123"
6,"44737","1016"
7,"37198","863"
8,"30192","909"
9,"23605","881"
10,"15498","855"
11,"6379","768"
12,"2654","494"
13,"1335","344"
14,"750","336"
15,"431","275"
16,"235","247"
17,"119","131"
18,"65","67"
19,"24","26"
20,"15","22"
21,"14","13"
22,"9","18"
23,"16","24"
24,"7","22"
25,"6","18"
26,"9","17"
27,"11","46"
28,"9","43"
29,"3","52"
30,"4","42"
31,"8","56"
32,"1","104"
33,"5","64"
34,"-","96"
35,"2","88"
36,"3","177"
37,"4","173"
38,"4","230"
39,"7","205"
40,"7","209"
41,"17","308"
42,"20","284"
43,"30","305"
44,"32","383"
45,"24","346"
46,"23","325"
47,"48","325"
48,"46","309"
49,"63","328"
50,"57","383"
51,"70","396"
52,"69","433"
53,"69","275"
