"Week","flu_cases","RSV_cases"
1,"79930","1357"
2,"130682","1413"
3,"256833","1489"
4,"259063","1564"
5,"268811","1420"
6,"223928","1273"
7,"146774","1137"
8,"112070","1141"
9,"86179","1191"
10,"59575","1282"
11,"42764","1392"
12,"26473","1208"
13,"16749","1139"
14,"9859","1001"
15,"8211","1279"
16,"8690","1285"
17,"6025","1184"
18,"3009","703"
19,"2072","803"
20,"1957","951"
21,"1315","949"
22,"932","911"
23,"569","944"
24,"411","1060"
25,"434","1130"
26,"422","1247"
27,"428","1467"
28,"355","2194"
29,"273","2388"
30,"266","3057"
31,"262","4180"
32,"191","4090"
33,"191","4104"
34,"169","4191"
35,"267","6609"
36,"338","7543"
37,"655","7712"
38,"668","6605"
39,"795","5378"
40,"848","4965"
41,"617","3615"
42,"955","3087"
43,"959","2756"
44,"1029","1960"
45,"1705","1880"
46,"1885","1762"
47,"2572","1595"
48,"4599","1578"
49,"8438","1609"
50,"16589","1705"
51,"39589","1715"
52,"54517","1720"
