"Week","flu_cases","RSV_cases"
1,"23139","576"
2,"36388","561"
3,"47366","907"
4,"51219","982"
5,"62583","1020"
6,"63786","952"
7,"62101","1009"
8,"55873","969"
9,"50235","1060"
10,"54796","1116"
11,"41319","1226"
12,"31760","1313"
13,"20013","1514"
14,"13580","1662"
15,"10587","2711"
16,"12291","3494"
17,"10945","3384"
18,"8316","3087"
19,"6648","3243"
20,"9275","4888"
21,"7975","6101"
22,"7483","6659"
23,"6688","8285"
24,"6344","9093"
25,"5896","9936"
26,"6238","9981"
27,"8193","10613"
28,"8640","9882"
29,"7847","8124"
30,"8088","7073"
31,"7090","5854"
32,"5082","3729"
33,"4913","2492"
34,"6910","1992"
35,"12638","2096"
36,"22111","1649"
37,"34665","1258"
38,"35021","736"
39,"47346","718"
40,"49212","575"
41,"54709","381"
42,"81160","305"
43,"97292","238"
44,"104359","193"
45,"85766","205"
46,"106940","182"
47,"139914","176"
48,"132117","189"
49,"166690","161"
50,"147858","201"
51,"114126","187"
52,"104612","189"
