Confirmed Disease Name,Year of Onset,Month of Onset,Gender,"Imported Case (0: No, 1: Yes)",Age Group,Number of Confirmed Cases,County/City Code,Township/District Code
487a,2003,1,M,0,3,1,,
487a,2003,1,F,0,3,1,,
487a,2003,1,M,0,10~14,1,,
487a,2003,1,F,0,4,1,,
487a,2003,1,M,0,0,1,,
487a,2003,1,M,0,2,1,,
487a,2003,2,M,0,1,1,,
487a,2003,2,M,0,2,1,,
487a,2003,2,M,0,4,1,,
487a,2003,3,M,0,5~9,1,,
487a,2003,11,M,0,45~49,1,,
487a,2003,11,F,0,3,1,,
487a,2003,12,M,0,1,1,,
487a,2003,12,M,0,5~9,1,,
487a,2003,12,F,0,2,1,,
487a,2003,12,F,0,25~29,1,,
487a,2004,1,M,0,70+,1,,
487a,2004,1,M,0,70+,1,,
487a,2004,1,F,0,60~64,1,,
487a,2004,1,F,0,70+,1,,
487a,2004,2,M,0,10~14,1,,
487a,2004,2,M,0,20~24,1,,
487a,2004,2,F,0,50~54,1,,
487a,2004,3,F,0,1,1,,
487a,2004,3,F,0,2,1,,
487a,2004,4,M,0,70+,1,,
487a,2004,4,M,0,50~54,1,,
487a,2004,7,M,0,70+,1,,
487a,2004,8,M,0,45~49,1,,
487a,2004,8,M,0,4,1,,
487a,2004,11,M,0,5~9,1,,
487a,2004,12,F,0,5~9,1,,
487a,2004,12,F,0,5~9,1,,
487a,2004,12,M,0,5~9,1,,
487a,2004,12,M,0,5~9,1,,
487a,2005,1,M,0,20~24,1,,
487a,2005,1,F,0,2,1,,
487a,2005,1,M,0,70+,1,,
487a,2005,1,M,0,3,1,,
487a,2005,1,F,0,4,1,,
487a,2005,1,M,0,10~14,1,,
487a,2005,1,M,0,20~24,1,,
487a,2005,1,F,0,50~54,1,,
487a,2005,2,F,0,10~14,1,,
487a,2005,2,F,0,30~34,1,,
487a,2005,2,F,0,0,1,,
487a,2005,2,M,0,10~14,1,,
487a,2005,2,F,0,40~44,1,,
487a,2005,2,M,0,55~59,1,,
487a,2005,2,F,0,3,1,,
487a,2005,2,M,0,30~34,1,,
487a,2005,2,F,0,55~59,1,,
487a,2005,2,M,0,70+,1,,
487a,2005,3,F,0,1,1,,
487a,2005,3,F,0,5~9,1,,
487a,2005,3,F,0,60~64,1,,
487a,2005,3,F,0,5~9,1,,
487a,2005,4,M,0,50~54,1,,
487a,2005,4,F,0,40~44,1,,
487a,2005,5,M,1,30~34,1,,
487a,2005,6,F,0,5~9,1,,
487a,2005,6,M,0,70+,1,,
487a,2005,7,M,0,70+,1,,
487a,2005,7,F,0,70+,1,,
487a,2005,8,F,0,70+,1,,
487a,2005,8,M,0,3,1,,
487a,2005,9,F,0,70+,1,,
487a,2005,10,F,0,45~49,1,,
487a,2006,1,M,0,5~9,1,,
487a,2006,1,M,0,5~9,1,,
487a,2006,2,M,0,50~54,1,,
487a,2006,2,F,0,70+,1,,
487a,2006,3,M,0,2,1,,
487a,2006,3,M,0,45~49,1,,
487a,2006,3,F,0,35~39,1,,
487a,2006,3,F,0,5~9,1,,
487a,2006,4,F,0,25~29,1,,
487a,2006,4,F,0,65~69,1,,
487a,2006,8,F,0,15~19,1,,
487a,2006,11,M,0,15~19,1,,
487a,2006,11,M,0,10~14,1,,
487a,2006,11,F,0,10~14,1,,
487a,2006,12,M,0,5~9,1,,
487a,2006,12,M,0,15~19,1,,
487a,2006,12,F,0,10~14,1,,
487a,2006,12,M,0,3,1,,
487a,2006,12,M,0,10~14,1,,
487a,2006,12,F,0,5~9,1,,
487a,2006,12,M,0,0,1,,
487a,2006,12,M,0,4,1,,
487a,2006,12,M,0,45~49,1,,
487a,2006,12,M,0,5~9,1,,
487a,2006,12,M,0,15~19,1,,
487a,2007,1,F,0,3,1,,
487a,2007,1,M,0,2,1,,
487a,2007,1,F,0,5~9,1,,
487a,2007,1,F,0,4,1,,
487a,2007,1,M,0,10~14,1,,
487a,2007,1,F,0,3,1,,
487a,2007,1,M,0,5~9,1,,
487a,2007,1,M,0,40~44,1,,
487a,2007,1,F,0,10~14,1,,
487a,2007,1,F,0,10~14,1,,
487a,2007,1,M,0,3,1,,
487a,2007,1,F,0,10~14,1,,
487a,2007,2,F,1,50~54,1,,
487a,2007,2,M,0,70+,1,,
487a,2007,2,F,0,30~34,1,,
487a,2007,4,M,0,30~34,1,,
487a,2007,5,F,0,65~69,1,,
487a,2007,6,F,0,70+,1,,
487a,2007,6,M,0,40~44,1,,
487a,2007,7,F,0,70+,1,,
487a,2007,7,F,0,25~29,1,,
487a,2007,8,M,0,70+,1,,
487a,2007,10,F,0,3,1,,
487a,2007,10,M,0,35~39,1,,
487a,2007,11,F,0,5~9,1,,
487a,2007,12,M,0,25~29,1,,
487a,2008,1,M,0,45~49,1,,
487a,2008,1,F,0,70+,1,,
487a,2008,1,M,0,70+,1,,
487a,2008,1,M,0,25~29,1,,
487a,2008,1,M,0,4,1,,
487a,2008,1,F,0,10~14,1,,
487a,2008,2,F,0,25~29,1,,
487a,2008,2,F,0,55~59,1,,
487a,2008,2,F,0,20~24,1,,
487a,2008,3,F,0,70+,1,,
487a,2008,3,F,0,5~9,1,,
487a,2008,3,F,0,70+,1,,
487a,2008,3,F,0,50~54,1,,
487a,2008,10,F,0,70+,1,,
487a,2008,10,M,0,5~9,1,,
487a,2008,12,M,0,10~14,1,,
487a,2008,12,M,0,35~39,1,,
487a,2008,12,F,0,45~49,1,,
487a,2008,12,M,0,45~49,1,,
487a,2008,12,M,0,70+,1,,
487a,2008,12,M,0,15~19,1,,
487a,2008,12,M,0,35~39,1,,
487a,2009,1,F,0,3,1,,
487a,2009,1,F,0,60~64,1,,
487a,2009,1,F,0,3,1,,
487a,2009,1,F,0,25~29,1,,
487a,2009,1,F,0,25~29,1,,
487a,2009,1,F,0,65~69,1,,
487a,2009,1,F,0,10~14,1,,
487a,2009,1,F,0,10~14,1,,
487a,2009,1,M,0,10~14,1,,
487a,2009,2,M,0,5~9,1,,
487a,2009,2,F,0,70+,1,,
487a,2009,2,M,0,70+,1,,
487a,2009,2,M,0,50~54,1,,
487a,2009,2,F,0,5~9,1,,
487a,2009,2,M,0,45~49,1,,
487a,2009,3,M,0,5~9,1,,
487a,2009,3,M,0,5~9,1,,
487a,2009,3,F,0,70+,1,,
487a,2009,3,F,1,60~64,1,,
487a,2009,7,F,1,30~34,1,,
487a,2009,7,M,1,30~34,1,,
487a,2009,7,M,0,25~29,1,,
487a,2009,7,M,0,5~9,2,,
487a,2009,7,M,0,30~34,1,,
487a,2009,7,M,0,5~9,1,,
487a,2009,7,F,0,10~14,1,,
487a,2009,7,M,0,10~14,1,,
487a,2009,7,M,0,3,1,,
487a,2009,7,M,0,45~49,1,,
487a,2009,7,M,0,35~39,1,,
487a,2009,7,M,0,70+,1,,
487a,2009,7,M,0,40~44,1,,
487a,2009,7,M,0,30~34,1,,
487a,2009,7,F,0,5~9,1,,
487a,2009,7,F,0,20~24,1,,
487a,2009,7,M,0,4,1,,
487a,2009,7,M,0,30~34,1,,
487a,2009,7,M,0,5~9,1,,
487a,2009,7,M,0,30~34,1,,
487a,2009,8,M,0,2,1,,
487a,2009,8,F,0,45~49,1,,
487a,2009,8,M,0,3,1,,
487a,2009,8,M,0,1,1,,
487a,2009,8,F,0,50~54,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,F,0,25~29,1,,
487a,2009,8,F,0,50~54,1,,
487a,2009,8,M,0,20~24,1,,
487a,2009,8,F,0,35~39,1,,
487a,2009,8,F,0,10~14,1,,
487a,2009,8,M,0,10~14,1,,
487a,2009,8,M,0,3,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,1,45~49,1,,
487a,2009,8,M,0,4,1,,
487a,2009,8,M,0,20~24,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,45~49,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,F,0,20~24,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,F,0,25~29,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,F,0,50~54,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,F,0,1,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,M,0,65~69,1,,
487a,2009,8,M,0,50~54,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,M,0,3,1,,
487a,2009,8,F,0,40~44,1,,
487a,2009,8,M,0,65~69,1,,
487a,2009,8,F,0,15~19,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,M,0,25~29,1,,
487a,2009,8,F,0,2,1,,
487a,2009,8,M,0,4,1,,
487a,2009,8,M,0,40~44,1,,
487a,2009,8,F,0,40~44,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,M,0,10~14,2,,
487a,2009,8,F,0,25~29,1,,
487a,2009,8,F,0,4,1,,
487a,2009,8,M,0,45~49,1,,
487a,2009,8,M,0,55~59,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,35~39,1,,
487a,2009,8,M,0,65~69,1,,
487a,2009,8,M,0,15~19,1,,
487a,2009,8,F,0,65~69,1,,
487a,2009,8,M,0,20~24,1,,
487a,2009,8,M,0,55~59,2,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,0,5~9,2,,
487a,2009,8,M,0,15~19,2,,
487a,2009,8,F,0,40~44,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,F,0,65~69,1,,
487a,2009,8,M,0,1,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,0,1,1,,
487a,2009,8,M,0,10~14,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,F,0,30~34,1,,
487a,2009,8,M,0,45~49,1,,
487a,2009,8,M,0,10~14,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,F,0,3,1,,
487a,2009,8,M,0,15~19,1,,
487a,2009,8,M,0,60~64,1,,
487a,2009,8,M,0,1,1,,
487a,2009,8,F,0,15~19,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,0,1,,
487a,2009,8,F,0,4,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,M,0,45~49,1,,
487a,2009,8,M,0,5~9,2,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,F,0,25~29,1,,
487a,2009,8,M,0,30~34,1,,
487a,2009,8,F,0,45~49,1,,
487a,2009,8,F,0,35~39,1,,
487a,2009,8,M,0,35~39,1,,
487a,2009,8,M,0,55~59,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,F,0,2,1,,
487a,2009,8,F,0,3,1,,
487a,2009,8,F,0,15~19,1,,
487a,2009,8,M,0,15~19,1,,
487a,2009,8,M,0,3,1,,
487a,2009,8,F,0,45~49,1,,
487a,2009,8,M,0,45~49,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,F,0,60~64,1,,
487a,2009,8,M,0,60~64,2,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,M,0,60~64,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,0,70+,2,,
487a,2009,8,M,0,4,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,F,0,65~69,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,0,70+,3,,
487a,2009,8,F,0,35~39,1,,
487a,2009,8,F,0,4,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,M,0,10~14,1,,
487a,2009,8,F,0,45~49,1,,
487a,2009,8,M,0,50~54,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,M,0,5~9,2,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,F,0,30~34,1,,
487a,2009,8,M,0,4,1,,
487a,2009,8,M,0,1,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,35~39,1,,
487a,2009,8,F,0,20~24,1,,
487a,2009,8,F,0,15~19,1,,
487a,2009,8,M,0,15~19,1,,
487a,2009,8,F,0,20~24,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,35~39,1,,
487a,2009,8,M,0,10~14,1,,
487a,2009,8,F,0,25~29,1,,
487a,2009,8,M,0,3,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,F,0,1,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,F,0,50~54,2,,
487a,2009,8,F,0,20~24,1,,
487a,2009,8,M,0,40~44,1,,
487a,2009,8,F,0,50~54,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,60~64,1,,
487a,2009,8,F,0,65~69,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,0,70+,3,,
487a,2009,8,F,0,2,1,,
487a,2009,8,M,0,30~34,1,,
487a,2009,8,M,0,45~49,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,60~64,1,,
487a,2009,8,F,0,55~59,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,F,0,4,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,F,0,0,1,,
487a,2009,8,F,0,40~44,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,1,1,,
487a,2009,8,F,0,10~14,1,,
487a,2009,8,M,0,20~24,1,,
487a,2009,8,F,0,25~29,1,,
487a,2009,8,M,0,30~34,1,,
487a,2009,8,F,0,55~59,1,,
487a,2009,8,M,0,10~14,1,,
487a,2009,8,F,0,45~49,1,,
487a,2009,8,M,0,55~59,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,65~69,1,,
487a,2009,8,M,0,70+,4,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,M,0,40~44,1,,
487a,2009,8,F,0,50~54,1,,
487a,2009,8,F,0,55~59,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,F,0,10~14,1,,
487a,2009,8,M,0,40~44,1,,
487a,2009,8,F,0,20~24,1,,
487a,2009,8,M,0,25~29,2,,
487a,2009,8,M,0,35~39,1,,
487a,2009,8,F,0,65~69,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,M,0,25~29,2,,
487a,2009,8,F,0,50~54,1,,
487a,2009,8,F,0,55~59,1,,
487a,2009,8,F,0,45~49,1,,
487a,2009,8,M,0,50~54,1,,
487a,2009,8,F,0,20~24,1,,
487a,2009,8,F,0,50~54,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,M,0,10~14,1,,
487a,2009,8,F,0,10~14,1,,
487a,2009,8,M,0,15~19,1,,
487a,2009,8,F,0,15~19,1,,
487a,2009,8,M,0,45~49,1,,
487a,2009,8,F,0,25~29,1,,
487a,2009,8,F,0,10~14,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,1,20~24,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,10~14,1,,
487a,2009,8,F,0,50~54,1,,
487a,2009,8,F,0,10~14,1,,
487a,2009,8,M,0,55~59,1,,
487a,2009,8,M,0,35~39,1,,
487a,2009,8,F,0,40~44,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,8,F,0,5~9,1,,
487a,2009,8,F,0,25~29,1,,
487a,2009,8,M,0,40~44,1,,
487a,2009,8,M,0,5~9,1,,
487a,2009,8,M,0,40~44,1,,
487a,2009,8,M,0,50~54,1,,
487a,2009,8,M,0,30~34,1,,
487a,2009,8,F,0,70+,1,,
487a,2009,8,M,0,40~44,1,,
487a,2009,8,M,0,35~39,1,,
487a,2009,8,F,0,50~54,1,,
487a,2009,8,M,0,10~14,1,,
487a,2009,8,M,0,25~29,1,,
487a,2009,8,M,0,70+,1,,
487a,2009,9,F,0,30~34,1,,
487a,2009,9,F,0,15~19,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,F,0,35~39,1,,
487a,2009,9,F,0,10~14,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,M,0,10~14,2,,
487a,2009,9,M,0,15~19,3,,
487a,2009,9,F,0,25~29,1,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,F,0,15~19,1,,
487a,2009,9,M,0,55~59,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,F,0,50~54,1,,
487a,2009,9,M,0,65~69,1,,
487a,2009,9,M,0,60~64,1,,
487a,2009,9,F,0,30~34,1,,
487a,2009,9,F,0,35~39,1,,
487a,2009,9,F,0,15~19,1,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,M,0,20~24,1,,
487a,2009,9,M,0,3,1,,
487a,2009,9,M,0,55~59,1,,
487a,2009,9,M,0,60~64,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,M,0,20~24,1,,
487a,2009,9,F,0,4,1,,
487a,2009,9,M,0,0,1,,
487a,2009,9,M,0,45~49,1,,
487a,2009,9,M,0,30~34,1,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,M,0,45~49,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,F,0,45~49,1,,
487a,2009,9,M,0,25~29,1,,
487a,2009,9,F,0,40~44,1,,
487a,2009,9,F,0,50~54,1,,
487a,2009,9,F,0,0,1,,
487a,2009,9,F,0,40~44,1,,
487a,2009,9,F,0,10~14,1,,
487a,2009,9,F,0,10~14,1,,
487a,2009,9,M,0,45~49,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,M,0,55~59,1,,
487a,2009,9,M,0,30~34,1,,
487a,2009,9,F,0,20~24,1,,
487a,2009,9,F,0,25~29,1,,
487a,2009,9,F,0,10~14,1,,
487a,2009,9,M,0,4,1,,
487a,2009,9,F,0,55~59,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,M,0,60~64,1,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,M,0,1,1,,
487a,2009,9,F,0,55~59,1,,
487a,2009,9,M,0,2,1,,
487a,2009,9,F,0,25~29,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,M,0,45~49,1,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,F,0,4,1,,
487a,2009,9,M,0,25~29,1,,
487a,2009,9,F,0,50~54,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,4,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,F,0,50~54,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,F,0,25~29,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,30~34,1,,
487a,2009,9,F,0,45~49,1,,
487a,2009,9,M,0,50~54,1,,
487a,2009,9,M,0,30~34,2,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,10~14,1,,
487a,2009,9,M,0,20~24,1,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,F,0,20~24,1,,
487a,2009,9,F,0,25~29,1,,
487a,2009,9,M,0,35~39,1,,
487a,2009,9,F,0,40~44,1,,
487a,2009,9,F,0,45~49,1,,
487a,2009,9,F,0,0,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,F,0,20~24,1,,
487a,2009,9,F,0,55~59,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,M,0,70+,2,,
487a,2009,9,F,0,35~39,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,M,0,35~39,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,F,0,40~44,1,,
487a,2009,9,M,0,70+,2,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,F,0,20~24,1,,
487a,2009,9,M,0,4,1,,
487a,2009,9,F,0,60~64,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,10~14,1,,
487a,2009,9,M,0,10~14,3,,
487a,2009,9,F,0,25~29,1,,
487a,2009,9,F,0,30~34,1,,
487a,2009,9,M,0,30~34,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,F,0,70+,2,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,M,0,40~44,1,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,F,0,60~64,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,10~14,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,F,0,25~29,1,,
487a,2009,9,M,0,20~24,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,25~29,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,F,0,20~24,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,F,0,10~14,2,,
487a,2009,9,M,0,30~34,1,,
487a,2009,9,F,0,50~54,1,,
487a,2009,9,F,0,55~59,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,M,0,2,1,,
487a,2009,9,F,0,20~24,1,,
487a,2009,9,F,0,60~64,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,M,0,25~29,1,,
487a,2009,9,M,0,30~34,1,,
487a,2009,9,F,0,60~64,1,,
487a,2009,9,M,0,60~64,1,,
487a,2009,9,M,0,70+,2,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,M,0,40~44,1,,
487a,2009,9,F,0,50~54,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,15~19,1,,
487a,2009,9,F,0,20~24,1,,
487a,2009,9,F,0,55~59,1,,
487a,2009,9,F,0,65~69,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,M,0,10~14,2,,
487a,2009,9,M,0,40~44,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,M,0,1,1,,
487a,2009,9,F,0,10~14,1,,
487a,2009,9,F,0,30~34,2,,
487a,2009,9,M,0,40~44,1,,
487a,2009,9,F,0,50~54,1,,
487a,2009,9,M,0,50~54,1,,
487a,2009,9,F,0,55~59,1,,
487a,2009,9,M,0,55~59,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,F,0,65~69,2,,
487a,2009,9,F,0,40~44,1,,
487a,2009,9,M,0,40~44,1,,
487a,2009,9,F,0,65~69,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,F,0,4,1,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,F,0,30~34,1,,
487a,2009,9,F,0,4,1,,
487a,2009,9,F,0,40~44,1,,
487a,2009,9,M,0,45~49,1,,
487a,2009,9,M,0,55~59,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,M,0,4,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,F,0,20~24,2,,
487a,2009,9,F,0,25~29,1,,
487a,2009,9,M,0,25~29,1,,
487a,2009,9,M,0,45~49,1,,
487a,2009,9,F,0,55~59,2,,
487a,2009,9,M,0,60~64,1,,
487a,2009,9,F,0,65~69,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,M,0,20~24,1,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,M,0,20~24,1,,
487a,2009,9,M,0,30~34,1,,
487a,2009,9,F,0,40~44,1,,
487a,2009,9,F,0,45~49,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,M,0,30~34,1,,
487a,2009,9,F,0,4,1,,
487a,2009,9,M,0,45~49,1,,
487a,2009,9,M,0,20~24,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,10~14,1,,
487a,2009,9,M,0,4,1,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,M,0,30~34,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,F,0,70+,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,M,0,25~29,1,,
487a,2009,9,M,0,40~44,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,M,0,2,1,,
487a,2009,9,M,0,10~14,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,F,0,40~44,1,,
487a,2009,9,F,0,20~24,1,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,M,0,65~69,1,,
487a,2009,9,F,0,35~39,1,,
487a,2009,9,F,0,10~14,1,,
487a,2009,9,M,0,45~49,1,,
487a,2009,9,F,0,30~34,1,,
487a,2009,9,F,0,5~9,2,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,M,0,4,2,,
487a,2009,9,F,0,5~9,1,,
487a,2009,9,M,0,5~9,1,,
487a,2009,9,M,0,15~19,1,,
487a,2009,9,F,0,50~54,1,,
487a,2009,9,M,0,70+,1,,
487a,2009,9,F,0,4,1,,
487a,2009,10,M,0,5~9,1,,
487a,2009,10,F,0,60~64,1,,
487a,2009,10,F,0,55~59,1,,
487a,2009,10,M,0,10~14,1,,
487a,2009,10,F,0,10~14,1,,
487a,2009,10,F,0,15~19,1,,
487a,2009,10,F,0,15~19,1,,
487a,2009,10,F,0,5~9,1,,
487a,2009,10,M,0,70+,1,,
487a,2009,10,F,0,60~64,1,,
487a,2009,10,F,0,5~9,1,,
487a,2009,10,F,0,10~14,1,,
487a,2009,10,M,0,20~24,1,,
487a,2009,10,M,0,25~29,1,,
487a,2009,10,M,1,25~29,1,,
487a,2009,10,F,0,30~34,1,,
487a,2009,10,M,0,35~39,1,,
487a,2009,10,F,0,2,1,,
487a,2009,10,F,0,10~14,1,,
487a,2009,10,M,0,10~14,2,,
487a,2009,10,F,0,15~19,1,,
487a,2009,10,M,0,15~19,3,,
487a,2009,10,M,0,5~9,1,,
487a,2009,10,M,0,10~14,1,,
487a,2009,10,M,0,5~9,1,,
487a,2009,10,F,0,20~24,1,,
487a,2009,10,M,0,15~19,1,,
487a,2009,10,M,0,45~49,1,,
487a,2009,10,M,0,45~49,1,,
487a,2009,10,F,0,5~9,1,,
487a,2009,10,M,0,15~19,1,,
487a,2009,10,F,0,25~29,1,,
487a,2009,10,M,0,25~29,1,,
487a,2009,10,F,0,55~59,1,,
487a,2009,10,F,0,0,1,,
487a,2009,10,F,0,70+,1,,
487a,2009,10,M,0,50~54,1,,
487a,2009,10,F,0,50~54,1,,
487a,2009,10,M,0,1,1,,
487a,2009,10,F,0,10~14,1,,
487a,2009,10,F,0,15~19,1,,
487a,2009,10,F,0,2,1,,
487a,2009,10,F,0,5~9,1,,
487a,2009,10,M,0,5~9,3,,
487a,2009,10,M,0,10~14,2,,
487a,2009,10,F,0,15~19,1,,
487a,2009,10,F,0,3,1,,
487a,2009,10,F,0,50~54,1,,
487a,2009,10,F,0,10~14,1,,
487a,2009,10,F,0,2,1,,
487a,2009,10,F,0,4,1,,
487a,2009,10,M,0,0,1,,
