theme,sub_theme,topic,geography_type,geography,geography_code,metric,metric_group,stratum,sex,age,year,month,epiweek,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,8,33,2017-08-14,1.79,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,8,33,2017-08-14,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,8,33,2017-08-14,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,8,33,2017-08-14,1.12,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,8,33,2017-08-14,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,8,33,2017-08-14,0.54,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,8,34,2017-08-21,3.14,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,8,34,2017-08-21,0.4,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,8,34,2017-08-21,0.41,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,8,34,2017-08-21,1.52,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,8,34,2017-08-21,0.5,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,8,34,2017-08-21,1.14,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,8,34,2017-08-21,1.54,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,8,35,2017-08-28,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,8,35,2017-08-28,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,8,35,2017-08-28,1.22,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,8,35,2017-08-28,0.43,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,8,35,2017-08-28,4.8,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,8,35,2017-08-28,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,8,35,2017-08-28,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,9,36,2017-09-04,0.4,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,9,36,2017-09-04,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,9,36,2017-09-04,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,9,36,2017-09-04,0.72,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,9,36,2017-09-04,2.87,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,9,36,2017-09-04,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,9,36,2017-09-04,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,9,37,2017-09-11,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,9,37,2017-09-11,0.33,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,9,37,2017-09-11,0.87,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,9,37,2017-09-11,0.5,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,9,37,2017-09-11,0.31,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,9,37,2017-09-11,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,9,37,2017-09-11,2.54,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,9,38,2017-09-18,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,9,38,2017-09-18,1.45,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,9,38,2017-09-18,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,9,38,2017-09-18,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,9,38,2017-09-18,0.89,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,9,38,2017-09-18,4.11,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,9,38,2017-09-18,1.17,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,9,39,2017-09-25,1.89,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,9,39,2017-09-25,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,9,39,2017-09-25,1.89,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,9,39,2017-09-25,6.98,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,9,39,2017-09-25,0.31,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,9,39,2017-09-25,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,9,39,2017-09-25,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,10,40,2017-10-02,13.19,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,10,40,2017-10-02,0.34,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,10,40,2017-10-02,3.65,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,10,40,2017-10-02,1.57,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,10,40,2017-10-02,2.17,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,10,40,2017-10-02,0.56,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,10,40,2017-10-02,0.24,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,10,41,2017-10-09,4.14,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,10,41,2017-10-09,1.61,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,10,41,2017-10-09,2.58,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,10,41,2017-10-09,0.24,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,10,41,2017-10-09,1.79,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,10,41,2017-10-09,0.27,False
