Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+
1,20,,,,,,,,1,,,,,,,,2
2,35,3,,,1,1,1,2,,1,2,,2,1,,1,2
3,58,4,,,,1,,,,,1,1,1,2,,1,2
4,90,5,1,,,1,1,,1,1,1,,4,1,,1,
5,129,9,2,3,1,,3,2,7,1,6,2,4,1,2,1,2
6,170,15,4,3,3,1,2,5,3,7,4,6,5,1,4,6,1
7,215,11,1,3,2,2,2,6,3,1,3,2,1,1,3,5,5
8,197,12,,1,2,1,7,5,4,1,2,4,2,3,2,2,2
9,266,13,4,1,4,4,8,4,1,,5,9,8,4,4,3,7
10,288,27,6,6,5,5,7,5,3,3,7,7,10,4,2,5,10
11,217,11,6,11,4,5,4,5,8,3,5,14,2,3,1,8,8
12,208,22,7,,1,3,7,9,5,7,8,12,10,3,5,5,6
13,106,4,1,1,3,1,5,5,2,6,3,2,5,2,1,6,20
14,47,3,1,,,,4,2,1,1,2,6,3,4,1,1,9
15,12,,,,,,2,1,2,1,,,3,,,1,4
16,10,1,,,,,1,1,,,,2,,,1,,2
17,3,,,,,,,,1,,,,,,1,,1
18,2,,,,,,,,1,,1,1,,,1,,2
19,1,,,,,,,,,,,,1,1,,,1
20,1,,,,,,,,2,,,,,,,,1
21,,,,1,,,,,,,,,,,,,2
24,1,,,,1,,,,1,,1,,,,,,
25,1,,,,,,,,,,,,,,,,
31,,1,,,,,,,,,,,,,,,
35,1,1,,,,,,,,,,,,,,,
36,1,1,2,,,,2,,1,,,,,,,,
37,1,,,,1,,,,1,,1,,,,,,
38,,,,,,1,,,,,,,1,1,,,
39,2,,,,,,,,,,,,,,,,
40,,,,,,,,,1,,,,,,,,
43,,,,,,,,,,,,,,1,,,
44,1,,,,,,,,,,,,,,,,
45,1,,,,,,,,,,,,,,,,1
51,1,,,,,,,,,,,,,,,,1
