Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+
1,166,5,7,,1,1,,1,,3,1,2,2,5,1,7,5
2,171,13,7,1,1,1,1,1,1,1,1,2,1,2,1,3,6
3,205,17,4,7,,1,1,,1,1,2,4,1,2,1,3,6
4,216,11,13,10,1,1,4,1,3,1,2,2,2,2,,4,4
5,205,19,21,5,,1,3,2,3,3,5,6,3,4,3,,3
6,231,26,7,11,1,4,2,3,4,4,8,7,6,3,5,9,11
7,156,7,9,7,,3,1,3,1,2,3,5,3,7,5,4,12
8,104,7,2,2,3,2,1,,4,1,6,4,5,8,2,8,14
9,69,10,8,3,2,2,,4,,1,2,2,1,7,2,8,8
10,63,1,4,1,,,1,,,1,1,3,3,3,1,3,4
11,30,1,2,1,,,1,,,1,2,2,,2,2,3,6
12,15,,1,,,,,1,,,,,,,,1,1
13,16,2,,,,,,,,,1,,1,,1,1,
14,12,,,,,,1,,,,,,,,,,2
15,5,,1,,,,1,,,,,,,,,,
16,3,,,,,,,,,,,,,,,,
17,2,,,,,,,,,,,,,,,,
18,5,,,,,,,,,,,,,,,,
19,5,,,,,,,,,,,,,,,,
20,3,,,,,,,,,,,,,,,,
21,,,,1,,,,,,,,,,,,,
22,1,,,,,,,,,,,,1,,,,
24,,1,,,,,,,,,,,,,,,
26,1,,,,,,,,,,,,,,,,
31,2,,,,,,,,,,,,,,,,
32,,1,,,,,,,,,1,,,,,,
33,,1,,,,,,,,,,,,,,,
34,,,,,1,,,,,,,,,,,,
37,,,1,,,,,,,,,,,,,,
38,2,,,,,,,,,,,,,,,,
39,2,1,,,,,,,,,,,,,,,
40,1,,,,,,,,,,,,,,,,
41,,,,,,,,,1,,,,,,,,
42,1,,,1,,,,,,,,,,,,,
43,2,2,1,,,,,,,,,,,,,,
44,1,1,,,1,,,,,,,,,,,,
45,4,,1,,,,,1,,,,,,,,,
46,2,,,,,,,,,,,,,,,,
47,4,,,,,,,,,,,1,,,,,
48,11,,,1,,,,,,,,,,,,,
49,3,,,,,,,,,,,,,,,,
50,9,2,,1,,,,,,,,,1,,,,3
51,16,,1,,,,,,,,,,,,,,
52,25,1,,,,,,,,,2,,,1,,,
