Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+
1,79,1,,,1,,,1,2,,,,2,,3,,2
2,75,2,,3,,3,1,,,2,2,2,1,2,6,,4
3,186,9,2,4,,1,3,1,2,,3,1,2,1,1,2,3
4,314,14,3,3,3,1,1,3,,3,6,4,4,2,,3,2
5,372,32,11,8,1,,5,1,2,5,8,5,2,4,1,1,8
6,495,26,13,5,1,5,13,6,5,4,10,7,7,7,6,6,21
7,536,30,16,10,6,9,12,4,9,6,6,9,8,4,5,14,16
8,470,25,7,4,4,8,12,11,7,6,12,18,7,9,12,9,26
9,304,18,3,3,4,7,8,10,8,7,9,19,12,8,7,14,38
10,266,22,7,5,1,5,10,8,5,9,12,17,15,17,5,15,17
11,230,29,8,2,4,3,5,7,3,5,12,8,8,10,9,16,29
12,177,13,9,4,3,6,5,3,1,3,10,10,9,8,11,8,15
13,84,6,12,4,3,2,,3,2,4,4,12,2,9,9,8,24
14,71,6,1,4,,1,4,2,2,5,5,5,6,4,5,6,14
15,45,2,7,1,2,,1,2,,2,,1,,3,4,3,6
16,18,2,1,,,,,1,,1,,2,1,2,,2,4
17,15,1,,,,,1,,,,,1,1,2,1,1,3
18,4,,,,,,,,,,,1,1,1,,1,5
19,6,,,,,,1,,,,,,,,,2,2
20,2,,,,,,,,,,,,1,,,,
21,2,,,,,,,,,,,,,,,,
22,3,,,,,,,,,,,,,,,,
23,2,,,,,,,,,1,,,,,,,
24,1,,,,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,1
34,,,,,,,,,,,1,,1,,,,
36,,,,,,,,,,,,,,1,,,
37,,,,,,,,,,,1,,,,,,
38,,,1,,,,,,,,,,,,,,
39,1,,,,,,,,,,,,,,,,
40,,,,,,,,,1,,,,,,,,
41,2,,,,,,,,,,,,,1,,,
42,,,,,,,,,,,,,,,,,1
43,1,,,,,,,,,,,,,,,,
44,1,,,,,,,,,,,,,,,,
45,4,,1,,,,,,,,,,,1,,,
46,2,,,,,,,,,,,,,,,,
47,2,,,,,,,,,,,,,,,,
48,6,,,,,,,,,,,,,,1,1,1
49,11,,,,,,,,,,,,,,,,
50,14,,1,,,,,1,,,,,,,,,
51,22,1,,,,,,,1,,,,1,,,,
52,12,,,,,,1,,,,,,,1,,,1
