Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+
1,36,2,,,1,,,,,,,,,,,,
2,44,,1,1,2,,,1,,1,,,,,1,,
3,79,4,2,,,,,,,,1,1,,1,,,
4,78,4,3,1,,2,1,,,,2,,,,,,
5,109,1,1,,,,1,,2,1,,2,,1,,,
6,130,2,1,1,,,2,1,,,1,1,,,,,2
7,145,3,,1,2,,,5,1,2,1,3,2,2,,2,
8,113,5,3,1,1,1,,2,2,1,2,1,2,,,,3
9,157,4,4,2,,1,2,2,,,3,2,1,2,1,1,2
10,96,5,1,1,,,2,1,,,,2,2,2,1,1,1
11,95,4,1,,1,,,1,,,2,1,,1,,2,2
12,72,1,1,1,,1,,,1,,,,,,1,2,1
13,50,2,,,,,,,,,,1,,,2,1,1
14,57,2,3,1,,,,1,1,,1,2,,1,,1,2
15,46,6,2,2,,,,1,2,1,,2,2,1,2,,1
16,19,1,1,1,,,,1,,,,,,,,,
17,17,,1,,,1,,,,,,,,,,1,
18,12,2,,,,,,,,,1,,,,,,
19,11,,1,,,,,,,,,,1,,,,
20,5,,,,,,,,,,,,,,,,
21,9,,,,,,,,,,,,,,,,
22,2,,,,,,,,,,,,,,,,
23,1,2,,,,,,,,1,,,,,,,
24,7,1,,,,,,,,,,,,,,1,
25,5,,,,,,,,,,,,,,,,
27,2,,,,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,,,,
31,1,,1,,,,,,,,,,,,,,
32,,,1,,,,,,,,,,,,,,
34,1,1,,,,,1,,,,,,,,,,
35,2,,,,,,,,,,,,,,,,
36,2,,,,,,,,,,,,,,,,
37,1,,,,,,,,,,,,,,,,
38,3,,,,,,,,,,,,,,,,
39,1,,,,,,,,,,,,1,,,,
41,2,,,,,,,,,,,,,,,,
42,4,1,,,,,,,,,,,,,,,
43,8,,,,,,,,,,,,,,,,
44,9,,1,,,,,,,,,,,1,,,
45,9,1,,,,,,,,,,,,,,,
46,17,1,,,,,,,,,,,,,,,
47,38,,1,,,,,,,,,,,,,,
48,83,1,,,,,,1,,,,,,,,,1
49,97,4,,1,,,,,,,1,1,,,,2,
50,166,9,4,,,,,1,,,2,1,1,,1,,
51,195,7,3,2,,,,1,,,,,,3,,1,1
52,156,4,,1,,,1,,,,,,,,1,,1
