Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+
1,1,,,,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,,,,
11,1,,,,,,,,,,,,,,,,
18,3,,,,,,,,,,,,,,,,
20,1,,,,,,,,,,,,1,,,,
23,,,,,,,,,,,,1,,,,,
24,,,1,,,,,,,,,1,,,,,
25,,,,,,,1,,,,,,,,,,
27,1,,,,,,,1,,,,,,,,,
28,8,,,,,,,,,,,,,,,,
29,4,,,,,,,,,,1,,,,,,
30,4,,,,,,,,1,,,1,,,,,
31,16,,,,,,,,,,,,,,,,1
32,11,1,,,1,,1,,,,,,,,1,,
33,17,2,,,,,,1,1,,1,1,,,,,
34,29,,,,,,2,,,,,1,,,,,
35,76,4,,3,,,2,1,,,,1,1,,,,1
36,160,6,1,,,1,1,3,1,1,2,1,1,,,,1
37,280,22,3,1,3,1,2,1,2,,,2,,1,,1,2
38,431,24,9,3,3,4,10,9,5,,2,1,3,2,,1,1
39,569,51,8,3,,5,12,12,3,3,5,6,4,1,3,2,8
40,777,69,11,8,4,6,21,25,8,6,2,10,5,8,4,6,11
41,639,73,12,8,3,10,25,13,15,9,10,16,7,11,8,6,13
42,483,32,9,5,2,14,17,17,5,5,8,6,9,8,11,8,19
43,274,18,5,4,5,7,10,7,4,4,8,10,5,4,5,7,13
44,280,25,7,12,6,9,16,14,11,7,10,16,13,5,8,9,35
45,160,15,10,5,7,2,8,1,8,4,7,7,6,7,4,2,18
46,83,14,5,1,2,2,4,5,3,3,4,4,1,7,1,,7
47,68,5,3,3,,6,5,7,2,1,3,3,6,2,1,,9
48,40,6,5,2,,1,,1,3,4,1,4,4,2,,2,6
49,29,3,2,5,1,,1,4,2,1,3,,2,,1,1,5
50,37,2,1,,2,1,3,1,2,,,,1,2,1,3,4
51,16,1,1,1,2,,1,1,1,1,,4,1,1,,,6
52,28,5,1,1,,1,3,,1,,3,1,2,1,3,2,4
